horizon,split,prediction_quantile,row_count,y_pred_min,y_pred_max,y_pred_mean,y_true_mean,y_true_median,y_true_std,directional_accuracy,expected_convergence_mean,actual_convergence_mean,actual_convergence_hit_rate
1,test,1,100,-0.2842143,-0.10632552,-0.1399757,-0.045058996445037386,-0.05436720870133804,0.22141527159036958,0.62,0.09257889345288277,0.030904592729351386,0.57
1,test,2,100,-0.10556903,-0.07556767,-0.09039444,-0.04945376067604961,-0.05300411149345763,0.2508665376110506,0.58,0.04819192700088024,0.04886876807456716,0.59
1,test,3,100,-0.075472005,-0.05527211,-0.066028506,-0.07736176092309487,-0.09633337426942745,0.3534847738059643,0.64,0.015147067829966545,0.02571447128883845,0.56
1,test,4,100,-0.05505052,-0.033335064,-0.044140182,-0.008830652848516429,0.011828573099823103,0.2041116227594021,0.47,0.005893025174736976,-0.001569656459888371,0.5
1,test,5,100,-0.033308238,-0.010228644,-0.021365784,-0.0021405767111443196,-0.01299793624229384,0.19773896641455582,0.54,0.0019402845297008752,-0.04913148366395351,0.4
1,test,6,100,-0.009959842,0.0077356873,-0.00089415704,0.03341683095574316,0.018020934470831307,0.2942686737516296,0.55,0.0009731402609031648,0.004076148613495949,0.5
1,test,7,100,0.008170886,0.02404155,0.015928317,0.02222770297972083,0.02873816525152506,0.2124661440855194,0.56,0.0012994289118796586,-0.020803768781544534,0.43
1,test,8,100,0.024247348,0.044308066,0.033872858,0.002793473109291291,0.01939499010956869,0.24362308218346612,0.53,0.006749222800135612,0.002472086536461866,0.52
1,test,9,100,0.044342097,0.07008325,0.056730494,0.05038015245042516,0.039531708662338794,0.23786279746819736,0.55,0.028649322763085364,0.018044988211862182,0.48
1,test,10,100,0.070720464,0.31900367,0.11005891,0.08331437763099574,0.08221328731991928,0.2884095532999201,0.65,0.079446235075593,0.11574030158619253,0.7
1,train,1,364,-0.42299935,-0.09345046,-0.12855583,-0.20087513241948413,-0.19046302341821608,0.2635015084830629,0.7939560439560439,0.06490145656433734,0.08476362949929413,0.6428571428571429
1,train,2,363,-0.093313135,-0.06194785,-0.07659284,-0.10703313670740812,-0.11830289080839052,0.22854263297151708,0.7052341597796143,0.027807377791930165,0.0261809472820229,0.5537190082644629
1,train,3,363,-0.06192763,-0.039179903,-0.049637202,-0.06598109984965186,-0.07642340082867527,0.23751146689150904,0.6418732782369146,0.007950739221796187,-0.004824521186304304,0.4931129476584022
1,train,4,363,-0.039167803,-0.01858398,-0.029190281,-0.006826022546523488,0.005528052831820673,0.22838823316577384,0.4931129476584022,0.005680152161185406,-0.008289780853223473,0.46831955922865015
1,train,5,363,-0.018493954,-0.0015150621,-0.00997774,-0.016922902072613655,-0.012889532485354849,0.2275688983291254,0.5399449035812672,0.0012628499664797271,0.0071119102815453295,0.4986225895316804
1,train,6,363,-0.0014670731,0.017525125,0.00869603,0.0055140644041711765,0.015413962432468509,0.22256065181243076,0.5399449035812672,0.0007300063015095512,-0.007924117487335994,0.4903581267217631
1,train,7,363,0.017527241,0.035635587,0.026532257,0.022764365289461033,0.023138845322410617,0.22294923289267324,0.5454545454545454,0.0040425837768585555,-0.0028020158460984506,0.5041322314049587
1,train,8,363,0.03566526,0.056543842,0.045043614,0.04737825747389626,0.03987735543479509,0.20265048611771697,0.6033057851239669,0.015387736743228823,0.0014182806900712246,0.512396694214876
1,train,9,363,0.056596324,0.08623251,0.06925578,0.08404326427448329,0.07782571088220003,0.2303365758093666,0.6914600550964187,0.03754962988957229,0.02984531629978371,0.5647382920110193
1,train,10,364,0.08625971,0.6097321,0.13000433,0.22553112476638762,0.19802679189457084,0.3132803394268987,0.8159340659340659,0.1083081605138032,0.1601213805676935,0.739010989010989
2,test,1,100,-0.31865218,-0.15899606,-0.19215779,-0.0186647753712872,-0.05157498592987242,0.31338902734304347,0.57,0.10238097906112671,0.026193038800066758,0.54
2,test,2,100,-0.15846951,-0.10934997,-0.13089423,-0.029002517754846285,-0.01934516976375278,0.335790707399745,0.52,0.07392329081892968,0.07707974966211795,0.64
2,test,3,100,-0.10891281,-0.074707486,-0.09206256,-0.04900708005637364,-0.06834216957381845,0.2996041233652392,0.58,0.04083261847496033,0.013811854377734089,0.5
2,test,4,100,-0.074424826,-0.044219818,-0.059288535,-0.11005319546437071,-0.04959591230023985,0.38461067111650876,0.58,0.016307759582996368,0.03409816584757294,0.5
2,test,5,100,-0.04412382,-0.019232415,-0.032431368,0.025947765225140067,0.015737361475641087,0.3233371286575892,0.47,0.005036184582859277,-0.017358095107743346,0.44
2,test,6,100,-0.01920005,0.0006251817,-0.009555995,-0.026382182803286955,-0.011241871930473657,0.3023837754243382,0.49,-0.00015852366865146906,-0.012799641035438984,0.46
2,test,7,100,0.00083104067,0.02743536,0.014337081,0.02560258338497899,-0.04262477431172407,0.3198183056876627,0.45,0.0028126489196438342,0.010264360330365143,0.46
2,test,8,100,0.027754014,0.054155443,0.041098796,0.011996043565947936,0.019676933989237533,0.32177441040375115,0.55,0.01135565858334303,-0.058162606826907715,0.45
2,test,9,100,0.05430513,0.085387155,0.06816992,0.09248066522463477,0.07834727515864426,0.32694743161448614,0.57,0.027815858945250512,0.03231695021804454,0.49
2,test,10,100,0.08548475,0.34255958,0.12898989,0.09489661344935561,0.06194964375989276,0.37127027963725573,0.6,0.08939308755099773,0.16030036035444767,0.7
2,train,1,364,-0.43051144,-0.12632115,-0.1792691,-0.27549247516702674,-0.27226815381953706,0.33920153861088825,0.804945054945055,0.11733665964105627,0.16614236511666952,0.7087912087912088
2,train,2,363,-0.12626089,-0.080802195,-0.102031074,-0.12946378054437505,-0.1109498267394784,0.28317496024561867,0.696969696969697,0.04992986039435568,0.04171942953845708,0.5730027548209367
2,train,3,363,-0.08064534,-0.047540877,-0.06348689,-0.1044778296573916,-0.09043181746900508,0.2919504760994959,0.6391184573002755,0.01848868227284145,-0.01050897844195747,0.4986225895316804
2,train,4,363,-0.04741208,-0.02260871,-0.03442828,-0.031073684950182996,-0.045359528716836905,0.2848868986808125,0.5537190082644629,0.0040437026159740345,-0.004999312945881522,0.48484848484848486
2,train,5,363,-0.022509692,0.0028594637,-0.0097297095,-0.024738020134124617,-0.020675707352125983,0.2870362928681224,0.512396694214876,0.0014042174867331884,-0.007162300752608299,0.45454545454545453
2,train,6,363,0.0028729746,0.025768463,0.0149867525,0.04013047899928667,0.030853634302394184,0.28462747868758387,0.5399449035812672,0.002759699877120616,0.003188226219007213,0.5068870523415978
2,train,7,363,0.025989763,0.049344886,0.03725093,0.035230981350423414,0.04020641701798766,0.29474520213525346,0.5619834710743802,0.008768361836630779,-0.031106910541864877,0.46831955922865015
2,train,8,363,0.04959288,0.0741563,0.060899645,0.06203593144429621,0.0640479645280898,0.2678786473604354,0.6060606060606061,0.02425085073824428,0.00806049069833451,0.5151515151515151
2,train,9,363,0.07417533,0.10619822,0.088702515,0.11239405674849758,0.10607445025419793,0.2809920939393108,0.6942148760330579,0.052455879563142446,0.05937692178254892,0.6060606060606061
2,train,10,363,0.10637336,0.7549064,0.16057442,0.2918603037543894,0.255900330255006,0.3935868771995087,0.7988980716253443,0.12916588179828706,0.21993915222886262,0.721763085399449
4,test,1,100,-0.33109328,-0.18990357,-0.23338242,-0.09744645520816345,-0.1277777745252937,0.43556605798489817,0.61,0.1266835868358612,0.12168798733681697,0.6
4,test,2,100,-0.18873985,-0.14840946,-0.16690376,-0.0005944676922024073,0.037275425403088924,0.4709756208057694,0.47,0.08413604751229287,0.03630142622021332,0.48
4,test,3,100,-0.14821506,-0.10850961,-0.12634322,-0.056768175347093504,-0.11386409104806017,0.4039811037502116,0.55,0.050473951548337934,0.08365454971376579,0.59
4,test,4,100,-0.10850373,-0.07590765,-0.09102993,-0.11538856451447155,-0.05368054190492,0.4746573537245971,0.55,0.027411628141999246,0.061043019580231055,0.52
4,test,5,100,-0.075848,-0.035547312,-0.056260966,0.0049515834636275355,-0.0062747563485743285,0.4171542898511146,0.5,-0.0010602888092398643,-0.0662624910571758,0.39
4,test,6,100,-0.035518188,-0.006728319,-0.020796614,-0.08770540454935727,-0.06068359635301501,0.4855334409989975,0.57,-0.0041554197482764725,-0.03936587629097346,0.41
4,test,7,100,-0.0064960597,0.020193417,0.0072347927,0.08821358657651751,0.014308792183330254,0.4413644306523418,0.47,0.0011397987627788098,0.06991340567158899,0.54
4,test,8,100,0.02066947,0.052840706,0.036124814,0.07501677932557377,0.09206757306439695,0.4376358804839032,0.56,0.005575662087649107,0.04092572834788884,0.46
4,test,9,100,0.05300687,0.09269191,0.070304334,0.09154143680490695,0.07688551915950548,0.41883362755185843,0.53,0.018836106285452844,0.05622469589003305,0.52
4,test,10,100,0.09443412,0.5787587,0.15503895,0.1331150279226042,0.05473482824106135,0.4390766925227608,0.57,0.10215344861149787,0.15261900153533275,0.57
4,train,1,363,-0.5235646,-0.16899459,-0.23308799,-0.3772302461369914,-0.346784144058093,0.4590134886626062,0.8457300275482094,0.176148684310519,0.23482805001406626,0.721763085399449
4,train,2,363,-0.16887368,-0.112810135,-0.13849984,-0.21286662524520011,-0.19911137100836562,0.4056264524638418,0.6942148760330579,0.07684509788662934,0.08047891462883887,0.559228650137741
4,train,3,363,-0.11277144,-0.0696783,-0.0895099,-0.1304027213273459,-0.12179306874134888,0.38080340280536584,0.6639118457300276,0.026995099116291225,0.010383658677301547,0.5454545454545454
4,train,4,363,-0.06962212,-0.032822337,-0.050818447,-0.0871477933553367,-0.07647564016548536,0.3616219210754142,0.5922865013774105,0.003535187769855678,-0.011635338996384172,0.4793388429752066
4,train,5,363,-0.03281275,-0.0012301644,-0.016012821,0.0006295693819985933,0.003152942175782769,0.36615703706429636,0.49586776859504134,-0.00046807453716199427,-0.064432729048093,0.418732782369146
4,train,6,362,-0.001194566,0.030616498,0.015657976,0.03582927950888029,0.014443806516537983,0.37922805351229305,0.5138121546961326,0.0033760630567937584,-0.0023499719801723675,0.511049723756906
4,train,7,363,0.030659229,0.06378724,0.047672797,0.05753741546421606,0.06760046594894753,0.36259021621410814,0.6005509641873278,0.014416022231345662,-0.0013088731328121286,0.5041322314049587
4,train,8,363,0.064073354,0.09538071,0.0790089,0.10503251545987463,0.08585195468972451,0.30601538204350026,0.6225895316804407,0.02678447916652217,0.003614088333084188,0.4931129476584022
4,train,9,363,0.0954276,0.14130321,0.11725342,0.17413024223137188,0.15167158566886307,0.34038011731567785,0.7272727272727273,0.07001527751854957,0.08642293398120791,0.6170798898071626
4,train,10,363,0.1413054,0.8360591,0.22677085,0.38908185053818023,0.3330945955739004,0.4371506772746552,0.8512396694214877,0.18574163022120138,0.30087832908869394,0.7713498622589532
8,test,1,100,-0.5340727,-0.2820901,-0.35998192,-0.15468691823544195,-0.1582591009216614,0.7107947589131769,0.6,0.1805835795402527,0.25714368379949126,0.69
8,test,2,100,-0.28141114,-0.20696385,-0.23923378,-0.06319079485997309,-0.13391926216471006,0.5754781958193784,0.58,0.11578212276101113,0.015023995297717025,0.58
8,test,3,100,-0.20693018,-0.14849062,-0.17846453,-0.1452333341144348,-0.14314293531363997,0.6482561059356088,0.59,0.07405157446861267,0.09720330876727752,0.52
8,test,4,100,-0.14716123,-0.10223845,-0.12470916,0.027000109166318006,0.025913742835175668,0.6165080458522478,0.48,0.01963778406381607,-0.041864050000595586,0.46
8,test,5,100,-0.10183906,-0.06185137,-0.08201562,-0.10100471802249766,-0.057810566295253274,0.5000884509825964,0.56,0.01649402588605881,0.036305624295632964,0.53
8,test,6,100,-0.061029967,-0.018472264,-0.04107078,-0.00966886896017396,0.010571559937313069,0.5427181943215152,0.5,-0.0025777813978493215,0.0888575387410804,0.58
8,test,7,100,-0.016810905,0.024936028,0.002276264,0.08438298922121897,0.06533170224496132,0.650365804347692,0.56,0.001274955958360806,0.13576537176149153,0.57
8,test,8,100,0.025576815,0.068083085,0.047822118,0.1410478034159884,0.20289798726374642,0.5804563825541604,0.6,0.011339867152273655,0.08424754197991545,0.54
8,test,9,100,0.06831526,0.11854824,0.09173948,0.17400681805271895,0.08033437387676301,0.6382490819595235,0.53,0.026494091004133226,0.09789329279893007,0.48
8,test,10,100,0.1186757,0.47843286,0.16851702,0.10275911381103356,-0.03174365849563543,0.6236378745723652,0.47,0.0881511190533638,0.0910497251568182,0.44
8,train,1,363,-0.6872915,-0.24156356,-0.33784717,-0.5818036636162676,-0.5489537968548035,0.5330334770501249,0.8898071625344353,0.277741154773833,0.4093426346364433,0.8044077134986226
8,train,2,362,-0.24132934,-0.1615211,-0.19762826,-0.2852684599092512,-0.24891265909255722,0.46969244804444116,0.7320441988950276,0.11298999264424676,0.11182629270256812,0.6077348066298343
8,train,3,363,-0.1613976,-0.103943154,-0.13027427,-0.2211902448774063,-0.1784761058552835,0.4924131240917861,0.6914600550964187,0.040487028391564844,0.022012786134695095,0.512396694214876
8,train,4,362,-0.103787914,-0.057980023,-0.08019266,-0.07870513988801679,-0.07774621344868748,0.47246299873400704,0.5939226519337016,0.006282998516497032,-0.08097283159215521,0.4447513812154696
8,train,5,363,-0.057659563,-0.009269016,-0.031768214,0.013384783465545702,0.016346000004499928,0.4753175072461781,0.47107438016528924,-0.004602627356641877,-0.08539381648412929,0.4325068870523416
8,train,6,362,-0.009253435,0.038121127,0.013847201,0.016067034032945224,0.02448429655889406,0.42286895040077654,0.5359116022099447,0.0019300759214269851,-0.043619653071618796,0.4558011049723757
8,train,7,362,0.038133904,0.08659873,0.06062203,0.08817597311314963,0.06217122698444211,0.4144559526378947,0.56353591160221,0.021583193820484434,0.05013412258724799,0.5331491712707183
8,train,8,363,0.08747324,0.14080417,0.11341942,0.18680979317337043,0.16152809121576084,0.4522739241403147,0.6639118457300276,0.04328969030669241,0.07465673472451069,0.5509641873278237
8,train,9,362,0.14162299,0.21927547,0.17488858,0.25332470883058045,0.19792482852705096,0.47660792638407423,0.6961325966850829,0.09759741712834953,0.11393750212302937,0.5883977900552486
8,train,10,363,0.21934228,0.81150126,0.3238099,0.5232715864616813,0.4648723481069048,0.5343398567734963,0.8732782369146006,0.24021306363019077,0.34082318754726565,0.7520661157024794
