horizon,objective,feature,gain,weight,cover
16,reg:pseudohubererror,is_day_session,2.6635279655456543,22.0,1189.9229736328125
16,reg:pseudohubererror,session_progress,4.195769786834717,91.0,643.4620361328125
16,reg:pseudohubererror,qff_was_filled,0.0,0.0,0.0
26,reg:pseudohubererror,spread,10.8802490234375,363.0,1398.4456787109375
26,reg:pseudohubererror,spread_zscore_67,10.10214900970459,94.0,1327.5701904296875
26,reg:pseudohubererror,spread_change_1,3.618175983428955,41.0,1496.172119140625
26,reg:pseudohubererror,spread_change_4,3.902142286300659,40.0,1506.233154296875
26,reg:pseudohubererror,spread_change_16,3.6039364337921143,28.0,1136.2940673828125
26,reg:pseudohubererror,spread_vol_16,3.849900722503662,169.0,1366.1612548828125
26,reg:pseudohubererror,spread_vol_67,10.12191104888916,363.0,1332.5643310546875
26,reg:pseudohubererror,tsm_fair_return_4,2.272274971008301,41.0,1559.930419921875
26,reg:pseudohubererror,tsm_fair_return_16,3.2825992107391357,101.0,1222.8082275390625
26,reg:pseudohubererror,qff_return_4,3.122309684753418,79.0,1666.333251953125
26,reg:pseudohubererror,qff_return_16,3.411147117614746,85.0,1388.928466796875
26,reg:pseudohubererror,is_day_session,5.479078769683838,12.0,164.4059600830078
26,reg:pseudohubererror,session_progress,3.902292490005493,84.0,464.3354797363281
26,reg:pseudohubererror,qff_was_filled,0.0,0.0,0.0
