date,s_close,adr_layer,premium,basis,night,identity_resid,twse_close,ccf_1330,contract_month,roll_day,limit_day,d_s_close,d_adr_layer,d_premium,d_basis,d_night,twse_ret,ccf_1330_ret
2026-01-06,0.9943517792166736,0.7908929094379162,3.8001552517778063,-0.2034588697787574,-3.009254149294502,-8.193045388127373e-06,49.2,49.1,202601.0,False,False,,,,,,,
2026-01-07,0.3903438115927236,0.5750160709091947,3.842094795498692,0.18467225931647113,-3.2670782289548708,-4.956346264517464e-07,54.1,54.2,202601.0,False,True,-0.60400796762395,-0.21587683852872153,0.04193954372088582,0.3881311290952285,-0.2578240796603688,9.494056235417341,9.88218736451256
2026-01-08,-1.4155708058145593,-1.795077902669709,1.7533566510198166,-0.3795070968551498,-3.5484581925534155,2.3638863889896555e-05,52.8,52.6,202601.0,False,False,-1.8059146174072829,-2.3700939735789035,-2.0887381444788753,-0.5641793561716208,-0.2813799635985448,-2.4322995140220134,-2.9964788701936396
2026-01-09,-1.6083700931998908,-0.7050215834331082,0.7235394681426045,0.9033485097667826,-1.4285957247476428,3.467317193006636e-05,55.1,55.6,202601.0,False,False,-0.19279928738533147,1.0900563192366008,-1.029817182877212,1.2828556066219323,2.1198624678057727,4.263852544665314,5.546708151287246
2026-01-12,-0.7101234683653893,-0.16909419554061922,1.0820362091996405,0.5410292728247701,-1.2511333889107978,2.9841705381228323e-06,55.3,55.6,202601.0,False,False,0.8982466248345015,0.535927387892489,0.358496741057036,-0.3623192369420125,0.177462335836845,0.3623192369420331,0.0
2026-01-13,-1.1797485492815674,-0.9977648775829775,-0.2731377089741218,0.18198367169858992,-0.7246408520767198,1.3683467864122889e-05,54.9,55.0,202601.0,False,False,-0.46962508091617805,-0.8286706820423583,-1.3551739181737623,-0.35904560112618017,0.526492536834078,-0.7259560012804112,-1.0850016024065818
2026-01-14,1.74520783381803,2.1148940219506502,2.6669176418961533,0.3696861881326203,-0.551979322359781,-4.4297585722219424e-05,54.0,54.2,202601.0,False,False,2.9249563830995973,3.1126588995336277,2.940055350870275,0.18770251643403035,0.17266152971693882,-1.6529301951210582,-1.4652276786870375
2026-01-15,0.1775781753734016,0.3602266279768297,1.2684981320733713,0.18264845260342813,-0.9082714574319251,-4.666461639324382e-08,54.7,54.8,202601.0,False,False,-1.5676296584446283,-1.7546673939738207,-1.398419509822782,-0.18703773552919215,-0.3562921350721441,1.2879662863661239,1.1009285508369178
2026-01-16,-0.4563150181862752,-0.11501775856228091,0.3947531568065949,0.34129725962399426,-0.5097717071668606,7.917979847893442e-07,58.5,58.7,202601.0,False,False,-0.6338931935596768,-0.4752443865391106,-0.8737449752667763,0.15864880702056613,0.39849975026506446,6.716304480987525,6.874953288008097
2026-01-20,-4.868099754215343,-4.1333425911758885,0.8631666300743221,0.7347571630394542,-4.997470947743416,0.0009617264932053615,67.8,68.3,202601.0,False,True,-4.411784736029068,-4.018324832613608,0.46841347326772725,0.3934599034154599,-4.487699240576555,14.753544070853897,15.147003974269355
