bucket_min,n,mean_abs_z,mean_to_open,median_to_open,mean_to_close
0,68,2.1613727989417235,1.0675480715047398,1.1073341368039773,0.938275398791001
30,67,2.151980088161172,0.6205449828274158,0.6462380938802883,0.6973828748582788
60,40,2.1158197344555254,1.1000664514398353,1.1599587465351302,1.1773013856234658
90,46,2.116870499510132,1.102542389147381,1.0080980332578515,0.7725491521112207
120,35,2.087295108302654,0.9539319827655447,0.6820469893580015,0.7008866790432643
150,46,2.117260220872483,0.4664386590578617,-0.05225668762279534,0.7862428315562551
180,23,2.138424584653586,0.5110955822533683,0.06011080308044758,0.8650080981456744
210,23,2.1455986725373317,0.4652620028791118,0.6118978933265549,0.6892925221931843
240,16,2.061267035088623,1.1314982408318075,0.7665290748988697,1.0546998589853604
270,10,2.0544100745700744,-0.06196357758776479,-0.23731414801567663,0.1800807519087184
300,24,2.0852139895135466,1.1944215517325483,1.037383042135019,1.080334812791062
330,27,2.109651921810451,1.2427895895430614,0.9193836795889297,0.9919869213519648
360,28,2.1534954699028535,0.767838948483433,0.7915329605144663,0.7363094478177047
