rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
1,1,2500,0.75,0.0,9510,14.036606177250547,30,0.003638568567809234,0.004114989380103283,8.006059093612786,True,32,32,0,1.0,402659.0134788545,229690.1193282939,0.11484505966414697,-30646.781977275852,-0.014344767921557072,,7177.816229009184,44493,0.8327500046791069,172968.89415056063,138050.9239141424,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,3,5
2,2,780,2.0,0.25,9510,13.532551408921682,30,0.0035416960076628534,0.004154625350023136,8.794157338639536,True,19,18,1,0.9473684210526315,327044.99470460624,223232.03945174985,0.111616019725875,-25879.178708036896,-0.012692065359742823,795.0501216165798,11749.054707986834,27458,0.513915663778098,103812.95525285637,82844.36765884802,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,4,2
3,3,2500,1.0,0.0,9510,13.284854144100182,30,0.0038991868670531244,0.0046592662532948205,9.558596729174774,True,23,23,0,1.0,370859.1493728552,246971.6413796517,0.1234858206898258,-26908.79851301224,-0.012918823148268413,,10737.897451289204,42162,0.7891220123902749,123887.5079932035,98654.39928920481,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,2,1
4,4,780,2.0,-0.25,9510,12.648812254048,30,0.0025277191531116144,0.0031723371945256884,7.312250671926498,True,21,21,0,1.0,270547.2065479495,157042.38246362034,0.07852119123181002,-21754.808067831444,-0.010738306816158791,,7478.208688743825,9564,0.17900391173332833,113504.82408432917,90355.28055201669,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,47,11
5,5,2500,1.0,0.25,9510,12.470943465050523,30,0.003461260255779597,0.004405905881296943,5.914856229275322,True,20,20,0,1.0,325445.26234790037,217823.64667497185,0.10891182333748602,-37251.57209950243,-0.01841326637804512,,10891.182333748593,44799,0.8384772314660578,107621.61567292856,85769.99679819631,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,7,22
6,6,780,2.0,0.0,9510,12.300508390152425,30,0.0031543375228471355,0.00407085253970204,7.802365607057258,True,20,19,1,0.95,306557.8014165184,197653.02431452277,0.09882651215726138,-25879.178708036896,-0.012666224211266461,704.0639883964977,9882.651215726139,16271,0.30453499036103987,108904.77710199557,86742.16765780612,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,26,7
7,7,3900,1.0,0.5,9510,12.133426520625376,30,0.00332110644188884,0.004345098249637516,5.356268783367037,True,17,17,0,1.0,299086.179224437,208565.92135711625,0.10428296067855809,-39143.21971901087,-0.019469329284294082,,12268.583609242132,36889,0.6904302906661176,90520.25786732067,72134.43260000284,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,16,39
8,8,2500,1.0,0.5,9510,12.097856720791846,30,0.0033918896103839542,0.00445075351317551,5.789735361049106,True,17,17,0,1.0,304781.4861724766,213215.87892276875,0.10660793946138443,-37873.063623273745,-0.01841326637804512,,12542.11052486875,50478,0.9447678227179996,91565.60724970783,72906.99133449463,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,14,24
9,9,2500,1.5,0.5,9510,12.011472731505851,30,0.0031094851246342516,0.004109533208358967,5.966438683461184,True,12,12,0,1.0,259481.7173109117,194697.02464349216,0.09734851232174598,-34290.370393017074,-0.0163160165529889,,16224.752053624346,39589,0.7409646446686257,64784.69266741961,51457.09159834218,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,30,20
10,10,1560,1.0,0.5,9510,11.92317226876538,30,0.004025743948668977,0.005359874246606447,6.745653859470804,True,21,21,0,1.0,367991.3105523327,255258.32723955653,0.12762916361977836,-40467.1053577112,-0.01892020644382587,,12155.158439978883,44613,0.8349959759681073,112732.98331277625,89368.16705780165,2026-06-09 21:30:00+08:00,2026-07-16 23:59:00+08:00,1,13
