ma_window,entry_z,exit_z,trade_count,contracts_median,net_0.0,sharpe_0.0,dd_0.0,net_0.5,sharpe_0.5,dd_0.5,net_1.0,sharpe_1.0,dd_1.0,net_1.5,sharpe_1.5,dd_1.5,net_2.0,sharpe_2.0,dd_2.0,survives_1t
390,1.0,0.0,241,4.0,597780.8810831071,12.830809445641279,-0.021842764547860917,160780.8810831071,4.231553002607041,-0.03310418160575026,-276219.1189168929,-6.299095426077545,-0.1633489126259917,-713219.1189168929,-11.8225589821461,-0.3683854527287957,-1150219.118916893,-13.526765298774288,-0.5814764974621268,False
390,1.0,0.25,189,4.0,577356.6520873364,11.270770285367313,-0.02396671454101053,235356.6520873364,5.7907351855787565,-0.035245245516613385,-106643.3479126636,-2.7226359140284258,-0.08184996698353937,-448643.3479126636,-9.667109897703403,-0.23485070992527968,-790643.3479126636,-12.712757658960475,-0.40137248586023544,False
390,1.0,0.5,152,4.0,516810.9375676634,10.768170456010829,-0.023593264469351182,243810.93756766338,6.021677864637711,-0.02611261376651109,-29189.06243233662,-0.6991795709333879,-0.053383853294089866,-302189.0624323366,-6.868064251821998,-0.1682541496661536,-575189.0624323366,-10.580164245974652,-0.2999467195845238,False
390,1.25,0.0,175,4.0,570283.9411802553,12.513768995913251,-0.018505700211060242,253283.94118025526,6.784090129411448,-0.021596933754475307,-63716.058819744736,-1.7182132969166548,-0.06596925222152258,-380716.05881974474,-8.893397997131276,-0.2012597462178812,-697716.0588197447,-12.574128347922244,-0.3550229802746315,False
390,1.25,0.25,143,4.0,518722.10238151206,10.6603764832964,-0.020870894538732875,258722.10238151206,6.545415204137426,-0.024172119531434468,-1277.897618487943,0.009995462395671591,-0.04740985468971543,-261277.89761848794,-6.9424787324948225,-0.14261407512780583,-521277.89761848794,-11.243379158178902,-0.2686138496401713,False
390,1.25,0.5,121,4.0,495454.49222933035,10.81330000887291,-0.02031723943315803,275954.49222933035,6.992766164225707,-0.022821975391787062,56454.49222933035,1.5682244978971924,-0.04039025660655608,-163045.50777066965,-4.094322210319094,-0.10048653507743127,-382545.50777066965,-8.25148824183908,-0.20554884667117157,True
390,1.5,0.0,131,4.0,455223.75116100535,11.879720134245979,-0.019055976391075764,218723.75116100535,6.666783731152396,-0.02168111725982092,-17776.248838994652,-0.5125202704721702,-0.05333029031511806,-254276.24883899465,-6.98643469936575,-0.14297266170265263,-490776.24883899465,-11.028676987578566,-0.2554535006413901,False
390,1.5,0.25,109,4.0,425044.577210566,10.379637106026149,-0.019968811393913155,227544.57721056603,6.431230275103364,-0.02401506049452137,30044.57721056603,0.9447964596241737,-0.048158644148614,-167455.42278943397,-4.717576467399988,-0.10656275617397463,-364955.422789434,-8.884768910416746,-0.19660235085937275,True
390,1.5,0.5,94,4.0,389627.5586827318,9.809907687844182,-0.02096523860877161,219627.55868273182,6.125445178394167,-0.024062887522622277,49627.55868273182,1.4548296043057583,-0.04349302486517903,-120372.44131726818,-3.1494311170070644,-0.08669664643218163,-290372.4413172682,-6.693441024016508,-0.165219820299236,True
390,1.75,0.0,102,4.0,443111.312606839,12.552586464276931,-0.01683842437612206,258111.312606839,8.28249493547756,-0.01876736819906191,73111.312606839,2.470893349273068,-0.029542593917534395,-111888.687393161,-3.4427137605351588,-0.07807232607352452,-296888.687393161,-7.967267761898238,-0.15963585411449419,True
390,1.75,0.25,88,4.0,447202.3744355617,11.878504922917129,-0.01805295591580199,287202.3744355617,8.577286751135077,-0.01926847177358402,127202.37443556171,4.103285250084066,-0.024075621366199614,-32797.62556443829,-1.007450649827472,-0.05478358046476033,-192797.6255644383,-5.677346510985302,-0.11316618895018016,True
390,1.75,0.5,80,4.0,438801.93747416465,11.530532961360818,-0.017541651676794324,293801.93747416465,8.440398759056395,-0.018726867284645028,148801.93747416465,4.4959271697276835,-0.02159680632087839,3801.937474164646,0.15688204915910256,-0.047105978408892996,-141198.06252583535,-3.856228878639239,-0.09454703334738884,True
390,2.0,0.0,81,4.0,377579.27416600846,10.675527135100058,-0.0167801269246252,230079.27416600846,7.171952796407002,-0.020086272056589586,82579.27416600846,2.7438847759633544,-0.029245921284813684,-64920.72583399154,-2.080418359310379,-0.05920544965869359,-212420.72583399154,-6.488268375664412,-0.11932238153737969,True
390,2.0,0.25,71,4.0,388347.0071847965,10.395951792748942,-0.017867857600258344,258847.0071847965,7.589621733275362,-0.019038665864116965,129347.0071847965,4.084013255600993,-0.024894661858518807,-152.99281520349905,0.03558418367791934,-0.048769737853732606,-129652.9928152035,-4.130666991011807,-0.08922688746302322,True
390,2.0,0.5,68,4.0,433801.1622269838,11.966552623407129,-0.017344929787187904,310301.1622269838,9.317934570820245,-0.018486249414764695,186801.1622269838,5.967392114204105,-0.02238679766181017,63301.16222698381,2.0943448909011617,-0.0385257521765668,-60198.83777301619,-1.869676477913765,-0.06347045620072143,True
390,2.5,0.0,54,3.5,322895.2679538457,12.160673833010977,-0.01373423665401171,227395.26795384567,9.073895107732454,-0.014232472844240087,131895.26795384567,5.4790654301649955,-0.014768218749269776,36395.26795384567,1.5556530290537756,-0.023049411333189947,-59104.73204615433,-2.4135119644974816,-0.04589336763491253,True
390,2.5,0.25,49,4.0,334481.3437543474,11.767704909281392,-0.01379164751896433,247481.3437543474,9.110707749712653,-0.014238840874863438,160481.3437543474,6.127065859963476,-0.014716006516644993,73481.34375434741,2.884568180906151,-0.022212496439438068,-13518.656245652586,-0.49400554882923525,-0.036326387059654554,True
390,2.5,0.5,49,4.0,361747.71657326864,13.170916989759432,-0.013570988085140078,274747.71657326864,10.381545881652839,-0.014003761661669247,187747.71657326864,7.277138864647338,-0.01536438375088251,100747.71657326864,3.9559076439949656,-0.018491089802580327,13747.71657326864,0.5650501106846609,-0.02794620060873551,True
780,1.0,0.0,142,3.0,577596.8635786134,12.964962045928539,-0.017994178158736055,330596.8635786134,8.687615663880061,-0.019742410464255313,83596.86357861338,2.1821701608914763,-0.05067366206048832,-163403.13642138662,-3.421430707127924,-0.110371691065326,-410403.1364213866,-6.916140819194241,-0.22587676634556986,True
780,1.0,0.25,107,3.0,551498.7266136799,12.932316468307516,-0.01822530858694306,363998.7266136799,9.7686156028047,-0.019558156907849296,176498.7266136799,4.795437669524105,-0.037481098777022215,-11001.2733863201,-0.2064852759803831,-0.06949792490929715,-198501.2733863201,-3.857658921077762,-0.1339842485158216,True
780,1.0,0.5,80,3.0,488581.86333027156,11.026201194678686,-0.019665847935562926,350581.86333027156,8.996599325736307,-0.02138551184095642,212581.86333027156,5.862152073852248,-0.02533358802390553,74581.86333027156,2.053655563532041,-0.04577497220188384,-63418.13666972844,-1.4959967870176318,-0.07474761682440359,True
780,1.25,0.0,98,3.0,506687.362437509,13.112748257357875,-0.01842198876269547,335187.362437509,10.030074784099257,-0.019638903904192945,163687.362437509,5.11444097549062,-0.031208849357292467,-7812.637562490767,-0.17525762157525274,-0.05863475135738734,-179312.63756249077,-4.2532557243601214,-0.10376343790131391,True
780,1.25,0.25,80,4.0,526166.7221063534,12.431170540797444,-0.01843279793891449,385166.7221063534,10.34504165094254,-0.019427674767604437,244166.72210635338,7.050370728382692,-0.020708617655010697,103166.72210635338,2.965098519200358,-0.041954619837547655,-37833.27789364662,-0.9265729491975354,-0.07034860355668913,True
780,1.25,0.5,65,3.0,507314.80071888724,12.0268638897186,-0.01852840764011271,393314.80071888724,10.407393289283585,-0.01932541286427559,279314.80071888724,7.97717261674175,-0.02019406694197433,165314.80071888724,4.838604750350252,-0.02417521773026026,51314.80071888724,1.4765900831954994,-0.04389297439637614,True
780,1.5,0.0,67,4.0,449028.93368110154,12.637590631352303,-0.01884469178381874,331028.93368110154,10.428489200378369,-0.019703995325063464,213028.93368110154,7.189065251234516,-0.020645410252066083,95028.93368110177,3.2331195605187624,-0.0335768479001742,-22971.06631889823,-0.6825920406671522,-0.049808307606682416,True
780,1.5,0.25,58,4.0,489768.4103422612,12.076637190369494,-0.018580126993075312,386768.4103422612,10.590588630793297,-0.019323763858382546,283768.4103422612,8.404988992483078,-0.020129407966536634,180768.4103422612,5.55743891453007,-0.027303677966607643,77768.4103422612,2.377017152987164,-0.04188894261042152,True
780,1.5,0.5,49,4.0,473981.337363868,11.63534494350088,-0.018705988224107368,387481.337363868,10.276179477373205,-0.01932286717083167,300981.337363868,8.481520251215093,-0.019981820011751243,214481.33736386802,6.269106076085661,-0.020687303161252453,127981.33736386802,3.773526377280394,-0.030316427546247363,True
