timestamp,qff_close,qff_close_filled,qff_volume,tsm_close,usdttwd_close,tsm_twd_fair,us_staleness_minutes,spread,close_allowed,friday_night_close_only,weekend_session_close_only,friday_session_end_force_close,entry_allowed
2026-05-07 11:34:00+08:00,50429.0,50429.0,1.0,50374.0,5.0,50374.0,0.0,-0.10912373639673423,True,False,False,False,True
2026-05-08 10:22:00+08:00,50050.0,50050.0,1.0,50030.0,5.0,50030.0,0.0,-0.03996802557953637,True,False,True,True,False
2026-05-11 11:22:00+08:00,49915.0,49915.0,1.0,49879.0,5.0,49879.0,0.0,-0.07214862616991001,True,False,False,False,True
2026-05-15 12:00:00+08:00,50250.0,50250.0,1.0,50318.0,5.0,50318.0,0.0,0.13523188290509902,True,False,True,True,False
2026-05-18 11:54:00+08:00,49503.0,49503.0,1.0,49500.0,5.0,49500.0,0.0,-0.006060422411442077,True,False,False,False,True
2026-05-18 13:25:00+08:00,49552.0,49552.0,2.0,49530.0,5.0,49530.0,0.0,-0.0444076623402838,True,False,False,False,True
2026-05-18 13:31:00+08:00,49557.0,49557.0,1.0,49535.0,5.0,49535.0,0.0,-0.0444031808824123,True,False,False,False,True
2026-05-19 12:07:00+08:00,50000.0,50000.0,1.0,50007.0,5.0,50007.0,0.0,0.013999020068595198,True,False,False,False,True
2026-05-20 11:31:00+08:00,49753.0,49753.0,1.0,49618.0,5.0,49618.0,0.0,-0.2717090499240221,True,False,False,False,True
2026-05-20 11:53:00+08:00,49685.0,49685.0,1.0,49618.0,5.0,49618.0,0.0,-0.13494053553266266,True,False,False,False,True
2026-05-20 11:54:00+08:00,49687.0,49687.0,1.0,49618.0,5.0,49618.0,0.0,-0.13896581239615327,True,False,False,False,True
2026-05-20 13:35:00+08:00,49760.0,49760.0,1.0,49618.0,5.0,49618.0,0.0,-0.28577753627563446,True,False,False,False,True
2026-05-22 12:00:00+08:00,50900.0,50900.0,1.0,50846.0,5.0,50846.0,0.0,-0.10614667898492323,True,False,True,False,False
2026-05-22 12:54:00+08:00,50910.0,50910.0,2.0,50880.0,5.0,50880.0,0.0,-0.05894488653109342,True,False,True,True,False
2026-05-25 11:31:00+08:00,51399.0,51399.0,1.0,51378.0,5.0,51378.0,0.0,-0.04086517411483114,True,False,False,False,True
2026-05-25 13:30:00+08:00,51416.0,51416.0,1.0,51373.0,5.0,51373.0,0.0,-0.08366654019398963,True,False,False,False,True
2026-05-27 12:33:00+08:00,50930.0,50930.0,1.0,50895.0,5.0,50895.0,0.0,-0.06874539651362632,True,False,False,False,True
2026-05-28 11:49:00+08:00,50983.0,50983.0,1.0,50999.0,5.0,50999.0,0.0,0.03137808632896001,True,False,False,False,True
2026-05-28 13:03:00+08:00,50979.0,50979.0,1.0,50972.0,5.0,50972.0,0.0,-0.013732086982962403,True,False,False,False,True
2026-05-28 13:04:00+08:00,50985.0,50985.0,3.0,50972.0,5.0,50972.0,0.0,-0.025500946477436563,True,False,False,False,True
2026-05-28 13:30:00+08:00,51015.0,51015.0,10.0,50955.0,5.0,50955.0,0.0,-0.11768167107972932,True,False,False,False,True
2026-05-29 12:15:00+08:00,51166.0,51166.0,1.0,51106.0,5.0,51106.0,0.0,-0.11733416770963706,True,False,True,False,False
2026-05-29 13:26:00+08:00,51162.0,51162.0,1.0,51106.0,5.0,51106.0,0.0,-0.10951617319200531,True,False,True,True,False
2026-06-01 11:43:00+08:00,51501.0,51501.0,2.0,51484.0,5.0,51484.0,0.0,-0.033014516677186,True,False,False,False,True
2026-06-04 11:42:00+08:00,51150.0,51150.0,1.0,51119.0,5.0,51119.0,0.0,-0.06062443164595332,True,False,False,False,True
2026-06-04 13:34:00+08:00,51170.0,51170.0,1.0,51155.0,5.0,51155.0,0.0,-0.029318348399706814,True,False,False,False,True
2026-06-05 09:07:00+08:00,52032.0,52032.0,2.0,51988.0,5.0,51988.0,0.0,-0.08459911555470102,True,False,True,False,False
2026-06-05 09:08:00+08:00,52018.0,52018.0,1.0,51988.0,5.0,51988.0,0.0,-0.057688979481952965,True,False,True,False,False
2026-06-05 09:19:00+08:00,52165.0,52165.0,2.0,52005.0,5.0,52005.0,0.0,-0.3071901699145627,True,False,True,False,False
2026-06-05 11:42:00+08:00,52055.0,52055.0,2.0,51966.0,5.0,51966.0,0.0,-0.17111929321963834,True,False,True,False,False
