ma_window,entry_z,exit_z,trade_count,sharpe_ratio,net_pnl_twd,return_pct,max_drawdown_pct,win_rate,ticks_median,ticks_p25,ticks_lt1_share
390,1.0,0.0,241,14.26759557869239,721280.3810831072,0.36064019054155355,-0.020893024739909113,0.8298755186721992,0.7629484799150765,0.29820192742949275,0.6016597510373444
390,1.0,0.25,189,12.255152987921868,674153.1520873369,0.3370765760436682,-0.0233012633719147,0.8359788359788359,1.0541093888986879,0.5000136800657616,0.48148148148148145
390,1.0,0.5,152,11.699994508792432,594470.9375676633,0.29723546878383167,-0.022971097309993634,0.8552631578947368,1.1929174972287457,0.5830546521193936,0.4342105263157895
390,1.25,0.0,175,13.580278803887786,660011.9411802548,0.33000597059012765,-0.017754349159562113,0.8685714285714285,1.0219581930469792,0.43808446256205924,0.49714285714285716
390,1.25,0.25,143,11.465481131557963,592116.602381512,0.29605830119075605,-0.0204632806460213,0.8601398601398601,1.1963744164332661,0.4254867957708673,0.4125874125874126
390,1.25,0.5,121,11.602762709664612,557507.4922293304,0.2787537461146652,-0.019935949901031338,0.8842975206611571,1.2814948205427419,0.664284111938725,0.3884297520661157
390,1.5,0.0,131,12.932069809857385,522286.7511610051,0.26114337558050266,-0.018404792554800355,0.8702290076335878,1.1078658475426353,0.49318691591950264,0.44274809160305345
390,1.5,0.25,109,11.211764683631547,480929.5772105658,0.240464788605283,-0.01936825903932364,0.8532110091743119,1.1771430005979047,0.3521702978845161,0.43119266055045874
390,1.5,0.5,94,10.629451189523559,437745.5586827318,0.2188727793413659,-0.02018693212999624,0.8404255319148937,1.3064034098562614,0.526569264543777,0.3829787234042553
390,1.75,0.0,102,13.46632161771918,495335.8126068387,0.2476679063034195,-0.0164973357383966,0.8823529411764706,1.252192302975495,0.5530905973472247,0.38235294117647056
390,1.75,0.25,88,12.625438711712219,492249.3744355614,0.24612468721778086,-0.017722980154228837,0.8977272727272727,1.4660160708589427,0.7237389654685511,0.32954545454545453
390,1.75,0.5,80,12.251831932364082,479769.9374741646,0.23988496873708232,-0.01721885177658217,0.9,1.499779970073949,0.8241194153719837,0.3125
390,2.0,0.0,81,11.497011675807656,419178.27416600846,0.20958913708300422,-0.016327857999364242,0.8765432098765432,1.25894297573703,0.5549706544127327,0.38271604938271603
