window,entry_z,exit_z,sharpe,trades,net,maxdd_pct,ret_pct,exposure,med_ticks,under1,win_rate,hold_med_h,weekend,cross_share,neighbour_sharpe
390,0.75,-0.25,-0.11376472923883943,89,-3568.370052646411,-0.04140325330780345,-0.00178418502632319,0.891784257787819,0.09046031199463005,0.7865168539325843,0.550561797752809,1.05,12,0.7790754810094439,1.6963202540077518
390,0.75,0.0,0.9548413962445923,73,19528.303291306365,-0.031605142919499285,0.009764151645653182,0.9249459112753451,0.1992120288524881,0.7534246575342466,0.5616438356164384,1.5,11,0.7794694553838425,1.7676339337476483
390,0.75,0.25,2.346068292783272,65,49208.54031706147,-0.02608549393657661,0.02460427015853068,0.9127879147599992,0.36552432405270746,0.7230769230769231,0.6307692307692307,2.2333333333333334,11,0.779522353137194,2.900737917526744
390,0.75,0.5,4.344360226886127,58,97222.7982619717,-0.024356160482262922,0.04861139913098584,0.9019127304754064,0.4981632883142414,0.7068965517241379,0.7068965517241379,4.641666666666667,9,0.7800372253349938,3.899166604399364
390,1.0,-0.25,0.4730062971659121,69,8994.935112735167,-0.03311244402484939,0.004497467556367628,0.709854678435352,0.14584577143543764,0.7681159420289855,0.5507246376811594,1.65,8,0.7797392842425369,2.387777705971817
390,1.0,0.0,0.8123172287460559,59,15798.330438878747,-0.025373047777336313,0.00789916521943931,0.746137203469337,0.30181929227556387,0.7627118644067796,0.6101694915254238,2.0,7,0.7799378787380373,2.9534500017980063
390,1.0,0.25,1.4683920976273002,52,29657.252782670857,-0.027425447024009807,0.01482862639133539,0.7333665205154225,0.27499001347622387,0.7307692307692307,0.6346153846153846,3.875,7,0.7799597076110191,3.8227693288411664
390,1.0,0.5,3.2722811191140257,49,67273.70218086116,-0.024412288548266693,0.03363685109043063,0.7228168259013192,0.478075940008654,0.6938775510204082,0.673469387755102,5.333333333333333,7,0.7807577465799967,5.086071384512748
390,1.5,-0.25,3.4333164690742506,44,72467.07678692098,-0.020442707484386577,0.03623353839346045,0.4097340557927588,0.32108107381464057,0.6590909090909091,0.5909090909090909,2.6166666666666667,5,0.7796876079875589,4.564261304542001
390,1.5,0.0,5.918832399838207,42,115066.96660263081,-0.017462521315158346,0.057533483301315455,0.5257041107430738,0.6687775107710597,0.6666666666666666,0.7142857142857143,2.925,6,0.779891109797326,4.770211358719276
390,1.5,0.25,5.982138753156939,39,114493.536977262,-0.01864654080250513,0.05724676848863112,0.5333626912251814,0.6335988730758864,0.5897435897435898,0.7435897435897436,4.883333333333334,6,0.780460323788984,5.993462102078309
390,1.5,0.5,7.77257038838011,38,148274.68405843424,-0.016107719885446695,0.07413734202921717,0.5430316490838423,0.7887426170891665,0.5526315789473685,0.8157894736842105,5.3,6,0.7804721870888205,6.371673010137841
390,2.0,-0.25,4.886961615771634,31,86718.79475019619,-0.016208264897410004,0.04335939737509808,0.13029160045185625,0.7043562107392386,0.5806451612903226,0.6774193548387096,1.6666666666666667,2,0.7810382643016067,5.215902181737213
390,2.0,0.0,6.7958425700309615,30,122313.28758170058,-0.014924840762876436,0.061156643790850417,0.1936472074900917,0.8546721288149649,0.5666666666666667,0.7333333333333333,3.1416666666666666,3,0.7812850847120166,6.3164005224682445
390,2.0,0.25,8.285912275659959,30,143051.96114844858,-0.014964183360293024,0.07152598057422438,0.2839801642765513,1.1274617451160167,0.4666666666666667,0.7666666666666667,4.891666666666667,4,0.7811202822612227,7.12261989854196
390,2.0,0.5,9.728237176482747,30,166104.61803387926,-0.014875431807681784,0.08305230901693972,0.29110264412491144,1.4037047745510984,0.4,0.8666666666666667,4.941666666666666,4,0.7810821635459525,7.386272352784642
390,2.5,-0.25,4.2895994896423,24,69507.8807983796,-0.015151712437081199,0.03475394039918983,0.09804897662218308,0.8486043296042876,0.5416666666666666,0.6666666666666666,2.775,2,0.7805676545933333,5.452665139215227
390,2.5,0.0,5.808139347142604,24,94058.48362037292,-0.015014668099653662,0.04702924181018642,0.16029408949051294,0.8028708507975718,0.5416666666666666,0.75,4.691666666666666,3,0.7806173565132721,6.045533847667319
390,2.5,0.25,7.170320870598725,24,109413.1334337775,-0.015063761224642465,0.054706566716888685,0.24942081985104061,1.2830764495443279,0.4166666666666667,0.7916666666666666,4.975,4,0.7804276949321518,6.817586145786058
390,2.5,0.5,8.485089936014303,24,126923.85291119873,-0.014989599292578435,0.06346192645559925,0.2559497597120374,1.4661937437078916,0.375,0.8333333333333334,5.516666666666667,4,0.7804125078174076,7.081374018383168
780,0.75,-0.25,3.6611130686127504,56,87780.9566677898,-0.02178478436907385,0.04389047833389486,0.6764058281797469,0.3503106678410536,0.6964285714285714,0.6607142857142857,1.3916666666666666,6,0.7809952977601756,3.6122012171260542
780,0.75,0.0,4.025914942700105,44,96401.85811175813,-0.0219400123920993,0.048200929055879124,0.7297669876888319,0.3826055478344873,0.6818181818181818,0.5681818181818182,2.85,6,0.7815856703887629,4.303475766721993
780,0.75,0.25,4.835357949348955,38,124607.11759097043,-0.023001214133867756,0.06230355879548518,0.8429799536655881,0.509385670567003,0.5789473684210527,0.6578947368421053,4.283333333333333,6,0.781885408296235,5.280101129548555
780,0.75,0.5,6.0791504013007955,35,167959.2055368553,-0.021230092617520978,0.0839796027684277,0.851863907024833,1.288744818991885,0.42857142857142855,0.7714285714285715,4.4,5,0.7816442304525015,5.960131994065982
780,1.0,-0.25,5.419241855305801,44,119788.33340474784,-0.021513093531259922,0.05989416670237389,0.6059851806467671,0.5924884426707586,0.6590909090909091,0.7727272727272727,1.7833333333333334,5,0.7812620064567483,4.3988090389188335
