entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
390,2026-06-10 21:30:00+08:00,2.7288708311592544,391,2026-06-10 21:31:00+08:00,open,1,2.840134686449728,short_tsm_long_qff,123.01396499999998,123.01396499999998,121.0,121.0,False,-7869.025276926893,8000.0,4,4.132231404958677,1000000.0,968000.0,2000.0,242.0,352.0,20,2082.168,2696.168,416,2026-06-10 21:56:00+08:00,-0.3837475190497985,417,2026-06-10 21:57:00+08:00,open,-0.1897767149422195,121.56135300000001,121.56135300000001,121.5,121.5,11430.64054556712,4000.0,15430.64054556712,239.1423398636082,352.0,20,2057.580692186485,2668.723032050093,481.1423398636082,704.0,40,4139.748692186486,5364.891032050093,10065.749513517027,10065.749513517027,zscore_exit,26
528,2026-06-10 23:48:00+08:00,2.39759583555806,529,2026-06-10 23:49:00+08:00,open,1,1.3500640911019746,short_tsm_long_qff,119.24966400000001,119.24966400000001,118.0,118.0,False,-7916.164862317766,8000.0,4,4.237288135593221,1000000.0,944000.0,2000.0,236.0,352.0,20,2030.5440000000003,2638.5440000000003,780,2026-06-11 21:30:00+08:00,-2.12398274776402,781,2026-06-11 21:31:00+08:00,open,-2.3212589685650267,126.20369999999998,126.20369999999998,128.0,128.0,-55049.29543449258,80000.0,24950.704565507418,249.76232385862312,352.0,20,2148.9550344795935,2770.7173583382164,485.7623238586231,704.0,40,4179.499034479593,5409.261358338217,19541.4432071692,19541.4432071692,zscore_exit,1302
782,2026-06-11 21:32:00+08:00,-2.3835340009366064,783,2026-06-11 21:33:00+08:00,open,1,-1.6294173744895195,long_tsm_short_qff,125.76088,125.76088,128.0,128.0,False,8142.436662338877,-8000.0,-4,3.90625,1000000.0,1024000.0,2000.0,256.0,352.0,20,2202.6240000000003,2830.6240000000003,1575,2026-06-15 21:45:00+08:00,1.1785383141576926,1576,2026-06-15 21:46:00+08:00,open,-0.9381944985500308,146.12114400000002,146.12114400000002,148.0,148.0,165782.1600484985,-160000.0,5782.16004849851,297.44554001212464,352.0,24,2559.2214262643206,3232.6669662764452,553.4455400121246,704.0,44,4761.845426264321,6063.290966276445,-281.1309177779349,-281.1309177779349,zscore_exit,5773
1950,2026-06-16 21:30:00+08:00,6.478360002767108,1951,2026-06-16 21:31:00+08:00,open,1,4.577464595194567,short_tsm_long_qff,141.3671972,141.3671972,141.0,141.0,False,-7979.22023172148,8000.0,4,3.5460992907801416,1000000.0,1128000.0,2000.0,282.0,352.0,24,2426.328,3084.328,2340,2026-06-17 21:30:00+08:00,-1.4539853959947422,2341,2026-06-17 21:31:00+08:00,open,-1.4572779527734354,140.169792,140.169792,143.0,143.0,9554.359797408437,16000.0,25554.359797408437,279.6114100506479,352.0,24,2405.7765720757748,3061.3879821264227,561.6114100506479,704.0,48,4832.104572075775,6145.715982126423,19408.643815282012,19408.643815282012,zscore_exit,1440
2730,2026-06-18 21:30:00+08:00,-2.284230453912875,2731,2026-06-18 21:31:00+08:00,open,1,-2.159262967390069,long_tsm_short_qff,146.68074,146.68074,152.5,152.5,False,6238.037795555163,-6000.0,-3,3.278688524590164,1000000.0,915000.0,2000.0,228.74999999999994,264.0,18,1968.165,2478.915,3101,2026-06-19 03:41:00+08:00,0.3089871029444274,3102,2026-06-19 03:42:00+08:00,open,0.3431046055166766,151.59872000000001,151.59872000000001,155.5,155.5,30678.545117784557,-18000.0,12678.545117784557,236.4196362794461,264.0,18,2034.1545505483548,2552.574186827801,465.1696362794461,528.0,36,4002.3195505483545,5031.489186827801,7647.055930956756,7647.055930956756,zscore_exit,371
3186,2026-06-22 22:36:00+08:00,2.3722362640652954,3187,2026-06-22 22:37:00+08:00,open,1,2.232069000957981,short_tsm_long_qff,176.876686,176.876686,179.0,179.0,False,-6072.026926148989,6000.0,3,2.793296089385475,1000000.0,1074000.0,2000.0,268.5,264.0,21,2310.1740000000004,2863.6740000000004,3388,2026-06-23 01:58:00+08:00,-0.3179462403958698,3389,2026-06-23 01:59:00+08:00,open,-0.3122459164219577,174.12725,174.12725,179.5,179.5,16694.64942372339,3000.0,19694.64942372339,264.32633764406916,264.0,21,2274.263809089571,2823.5901467336403,532.8263376440691,528.0,42,4584.437809089572,5687.264146733641,14007.38527698975,14007.38527698975,zscore_exit,202
3510,2026-06-23 21:30:00+08:00,2.794238342068315,3511,2026-06-23 21:31:00+08:00,open,1,2.595478187990992,short_tsm_long_qff,166.331376,166.331376,168.5,168.5,False,-6078.227838384503,6000.0,3,2.9673590504451037,1000000.0,1011000.0,2000.0,252.75000000000006,264.0,21,2174.6610000000005,2712.4110000000005,3619,2026-06-23 23:19:00+08:00,-0.429445626530402,3620,2026-06-23 23:20:00+08:00,open,0.0725342814419063,165.451299,165.451299,170.5,170.5,5349.308521321918,12000.0,17349.308521321916,251.41267286966956,264.0,21,2163.154637370637,2699.5673102403066,504.1626728696696,528.0,42,4337.815637370637,5411.978310240307,11937.33021108161,11937.33021108161,zscore_exit,109
3900,2026-06-24 21:30:00+08:00,2.7242892882437912,3901,2026-06-24 21:31:00+08:00,open,1,2.459640346373261,short_tsm_long_qff,172.207755,172.207755,174.0,174.0,False,-6062.44474878614,6000.0,3,2.8735632183908044,1000000.0,1044000.0,2000.0,261.00000000000006,264.0,21,2245.6440000000007,2791.6440000000007,3913,2026-06-24 21:43:00+08:00,-0.5991673514812353,3914,2026-06-24 21:44:00+08:00,open,-0.2197946807162994,167.9046,167.9046,172.0,172.0,26087.639432962846,-12000.0,14087.639432962846,254.4780901417593,264.0,21,2189.529487579697,2729.0075777214565,515.4780901417594,528.0,42,4435.173487579697,5520.651577721457,8566.987855241388,8566.987855241388,zscore_exit,13
3951,2026-06-24 22:21:00+08:00,2.4812993177748828,3952,2026-06-24 22:22:00+08:00,open,1,2.293568690956189,short_tsm_long_qff,173.25672,173.25672,175.5,175.5,False,-6077.686337361113,6000.0,3,2.849002849002849,1000000.0,1053000.0,2000.0,263.25,264.0,21,2265.003,2813.253,4180,2026-06-25 02:10:00+08:00,-0.4167879164730668,4181,2026-06-25 02:11:00+08:00,open,-0.5633455642547942,175.995793,175.995793,180.5,180.5,-16647.22654913466,30000.0,13352.773450865341,267.41180663728363,264.0,21,2300.811184307189,2853.2229909444723,530.6618066372837,528.0,42,4565.814184307189,5666.475990944473,7686.297459920868,7686.297459920868,zscore_exit,229
4317,2026-06-25 21:57:00+08:00,2.838727238085988,4318,2026-06-25 21:58:00+08:00,open,1,2.2089601545081354,short_tsm_long_qff,176.80399500000001,176.80399500000001,178.0,178.0,False,-6040.587487856255,6000.0,3,2.808988764044944,1000000.0,1068000.0,2000.0,267.0,264.0,21,2297.268,2849.268,4476,2026-06-26 00:36:00+08:00,-0.4176139283693829,4477,2026-06-26 00:37:00+08:00,open,0.1138142362300794,175.81942800000002,175.81942800000002,179.5,179.5,5947.36310115616,9000.0,14947.36310115616,265.51315922471093,264.0,21,2284.4752219694133,2834.9883811941245,532.513159224711,528.0,42,4581.743221969413,5684.2563811941245,9263.106719962034,9263.106719962034,zscore_exit,159
