entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_crossing_cost_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_crossing_cost_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,crossing_cost_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
390,2026-06-10 21:30:00+08:00,1.795012675058549,391,2026-06-10 21:31:00+08:00,open,1,1.866705434536794,short_tsm_long_qff,123.01396499999998,123.01396499999998,121.0,121.0,False,-7869.025276926893,8000.0,4,4.132231404958677,1000000.0,968000.0,2000.0,242.0,352.0,20,2082.168,2696.168,780,2026-06-11 21:30:00+08:00,-1.121693213433338,781,2026-06-11 21:31:00+08:00,open,-1.2624928096597658,126.20369999999998,126.20369999999998,128.0,128.0,-25100.105341698392,56000.0,30899.894658301608,248.2750263354246,352.0,20,2136.1583265899935,2756.433352925418,490.2750263354246,704.0,40,4218.326326589993,5452.601352925418,25447.293305376188,25447.293305376188,zscore_exit,1440
933,2026-06-12 00:03:00+08:00,-1.758550726135508,934,2026-06-12 00:04:00+08:00,open,1,-1.6459472652944158,long_tsm_short_qff,127.31131200000002,127.31131200000002,129.5,129.5,True,8137.532979001897,-8000.0,-4,3.861003861003861,1000000.0,1036000.0,2000.0,259.0,352.0,20,2228.436,2859.436,1950,2026-06-16 21:30:00+08:00,1.214115326982642,1951,2026-06-16 21:31:00+08:00,open,0.694398127251916,141.3671972,141.3671972,141.0,141.0,114380.2293640645,-92000.0,22380.229364064493,287.5950573410161,352.0,24,2474.4678733621026,3138.0629307031186,546.5950573410162,704.0,44,4702.903873362103,5997.498930703119,16382.730433361374,16382.730433361374,zscore_exit,7047
2003,2026-06-16 22:23:00+08:00,1.8901710807274743,2004,2026-06-16 22:24:00+08:00,open,1,1.9367738652225648,short_tsm_long_qff,138.654873,138.654873,137.5,137.5,False,-7933.36704437355,8000.0,4,3.6363636363636362,1000000.0,1100000.0,2000.0,275.0,352.0,24,2366.1000000000004,3017.1000000000004,2340,2026-06-17 21:30:00+08:00,-1.238184034226394,2341,2026-06-17 21:31:00+08:00,open,-1.237620345839601,140.169792,140.169792,143.0,143.0,-12018.408469495269,44000.0,31981.59153050473,278.00460211737385,352.0,24,2391.9515966178847,3045.9561987352586,553.0046021173739,704.0,48,4758.051596617885,6063.056198735259,25918.53533176947,25918.53533176947,zscore_exit,1387
2347,2026-06-17 21:37:00+08:00,-1.808429551188089,2348,2026-06-17 21:38:00+08:00,open,1,-1.702819312159504,long_tsm_short_qff,140.07504,140.07504,143.5,143.5,False,6146.7053659238645,-6000.0,-3,3.484320557491289,1000000.0,861000.0,2000.0,215.25,264.0,18,1852.011,2349.261,3208,2026-06-22 22:58:00+08:00,0.6722811745171057,3209,2026-06-22 22:59:00+08:00,open,0.5481596774614353,177.91580299999998,177.91580299999998,179.5,179.5,232596.0209827531,-216000.0,16596.020982753107,273.3990052456883,264.0,21,2352.325041133902,2910.72404637959,488.6490052456883,528.0,39,4204.336041133902,5259.98504637959,11336.035936373517,11336.035936373517,zscore_exit,7281
3900,2026-06-24 21:30:00+08:00,2.440498763634203,3901,2026-06-24 21:31:00+08:00,open,1,2.231746396292762,short_tsm_long_qff,172.207755,172.207755,174.0,174.0,False,-6062.44474878614,6000.0,3,2.8735632183908044,1000000.0,1044000.0,2000.0,261.00000000000006,264.0,21,2245.6440000000007,2791.6440000000007,4900,2026-06-27 01:10:00+08:00,-1.00651724044595,4901,2026-06-27 01:11:00+08:00,open,-0.5906794252150439,164.134284,164.134284,168.0,168.0,48944.971868427085,-36000.0,12944.971868427085,248.76375703289324,264.0,21,2140.3633655110134,2674.127122543907,509.7637570328933,528.0,42,4386.007365511014,5465.771122543907,7479.200745883178,7479.200745883178,zscore_exit,3100
5098,2026-06-29 21:58:00+08:00,-1.8620293202302152,5099,2026-06-29 21:59:00+08:00,open,1,-1.1627901947181531,long_tsm_short_qff,162.284652,162.284652,167.0,167.0,False,6174.33619046119,-6000.0,-3,2.9940119760479043,1000000.0,1002000.0,2000.0,250.49999999999994,264.0,21,2155.3019999999997,2690.8019999999997,5198,2026-06-29 23:38:00+08:00,1.0152244688241086,5199,2026-06-29 23:39:00+08:00,open,0.7334532336567288,165.94250399999999,165.94250399999999,167.5,167.5,22584.80798295079,-3000.0,19584.80798295079,256.14620199573767,264.0,21,2203.8819219713273,2745.028123967065,506.6462019957376,528.0,42,4359.183921971327,5435.8301239670645,14148.977858983726,14148.977858983726,zscore_exit,100
5514,2026-06-30 22:24:00+08:00,2.470445931061167,5515,2026-06-30 22:25:00+08:00,open,1,1.6211966163537397,short_tsm_long_qff,172.175694,172.175694,172.5,172.5,False,-6011.301455825699,6000.0,3,2.898550724637681,1000000.0,1035000.0,2000.0,258.75,264.0,21,2226.285,2770.035,5854,2026-07-01 21:34:00+08:00,-1.3763623504270106,5855,2026-07-01 21:35:00+08:00,open,-1.618366954138685,166.11503,166.11503,169.5,169.5,36432.478326470424,-18000.0,18432.478326470424,249.64188041838239,264.0,21,2147.9187391197624,2682.5606195381447,508.39188041838236,528.0,42,4374.203739119763,5452.595619538144,12979.88270693228,12979.88270693228,zscore_exit,1390
5857,2026-07-01 21:37:00+08:00,-1.9194388078245603,5858,2026-07-01 21:38:00+08:00,open,1,-1.7096515631526337,long_tsm_short_qff,165.22365,165.22365,169.0,169.0,False,6137.135936653137,-6000.0,-3,2.9585798816568047,1000000.0,1014000.0,2000.0,253.5,264.0,21,2181.114,2719.614,6240,2026-07-02 21:30:00+08:00,1.1696904308633416,6241,2026-07-02 21:31:00+08:00,open,1.2755008192954254,165.43417799999997,165.43417799999997,166.5,166.5,1292.038954471603,15000.0,16292.038954471604,253.8230097386179,264.0,21,2183.8931757910686,2722.7161855296863,507.3230097386179,528.0,42,4365.007175791068,5442.330185529687,10849.708768941917,10849.708768941917,zscore_exit,1433
6303,2026-07-02 22:33:00+08:00,-1.8835894910390476,6304,2026-07-02 22:34:00+08:00,open,1,-1.4181374739158037,long_tsm_short_qff,161.796075,161.796075,166.0,166.0,False,6155.897168704494,-6000.0,-3,3.0120481927710845,1000000.0,996000.0,2000.0,249.0,264.0,21,2142.396,2676.396,6659,2026-07-06 21:59:00+08:00,0.9124718382430036,6660,2026-07-06 22:00:00+08:00,open,0.2078877556357493,169.054696,169.054696,170.5,170.5,44683.32446259901,-27000.0,17683.324462599012,260.1708311156497,264.0,21,2238.5098309190507,2783.6806620347006,509.1708311156497,528.0,42,4380.905830919051,5460.0766620347,12223.247800564312,12223.247800564312,zscore_exit,5726
6870,2026-07-07 01:30:00+08:00,-1.9362359489271024,6871,2026-07-07 01:31:00+08:00,open,1,-1.6583021980513202,long_tsm_short_qff,166.320406,166.320406,170.5,170.5,False,6150.7786362666775,-6000.0,-3,2.932551319648094,1000000.0,1023000.0,2000.0,255.75000000000006,264.0,21,2200.4730000000004,2741.2230000000004,7020,2026-07-07 21:30:00+08:00,2.2662431422183715,7021,2026-07-07 21:31:00+08:00,open,2.498128181412152,156.5992,156.5992,156.5,156.5,-59792.986183547415,84000.0,24207.013816452585,240.8017534541132,264.0,18,2071.85828671919,2594.660040173303,496.5517534541133,528.0,39,4272.331286719191,5335.883040173303,18871.130776279282,18871.130776279282,zscore_exit,1200
