basket_id,tranche,direction,entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_spread,signal_excursion_k,entry_excursion_k,entry_tsm_twd_fair,entry_qff_close,entry_usdtwd,tsm_units,qff_units,qff_contracts,actual_leg_notional_twd,entry_fee_twd,entry_crossing_cost_twd,exit_signal_idx,exit_signal_time,exit_idx,exit_time,exit_fill_price_type,exit_reason,exit_spread,exit_zscore,exit_tsm_twd_fair,exit_qff_close,exit_fee_twd,gross_pnl_twd,total_fee_twd,net_pnl_twd,holding_minutes
0,1,short_tsm_long_qff,2499,2026-01-15 01:09:00+08:00,2.3509614891560022,2500,2026-01-15 01:10:00+08:00,1.5998125173034998,0.0,0.0,55.175703,54.3,31.547,-5904.772975887593,6000.0,3,325800.0,2160.6125384562606,1689.093,3498,2026-01-17 04:48:00+08:00,3499,2026-01-17 04:49:00+08:00,open,zscore_exit,-1.1105782431900937,-1.362485497984773,58.842855,59.5,2100.428339993876,9546.29997192787,4261.040878450136,5285.2590934777345,3099
1,1,long_tsm_short_qff,3514,2026-01-20 22:35:00+08:00,-1.8092294122753547,3515,2026-01-20 22:36:00+08:00,-1.241661048670308,0.0,0.0,67.16087999999999,68.0,31.62,4049.976712633903,-4000.0,-2,272000.0,1436.1222636534842,1126.0620000000001,4680,2026-01-23 22:31:00+08:00,4681,2026-01-23 22:32:00+08:00,open,zscore_exit,0.4107063809846362,0.6006823885870923,66.271624,66.0,1443.5944779826964,4398.53390843007,2879.716741636181,1518.81716679389,4316
1,2,long_tsm_short_qff,3600,2026-01-21 00:01:00+08:00,-3.41257860561782,3601,2026-01-21 00:02:00+08:00,-2.9271476096834648,2.010280122640111,2.0142216279324767,68.271898,70.3,31.622,4118.824995900949,-4000.0,-2,281200.0,1438.3074840203797,1126.062,4680,2026-01-23 22:31:00+08:00,4681,2026-01-23 22:32:00+08:00,open,zscore_exit,0.4107063809846362,0.6006823885870923,66.271624,66.0,1492.4219382674055,8961.221450149254,2930.7294222877854,6030.492027861469,4230
1,3,long_tsm_short_qff,3627,2026-01-21 00:28:00+08:00,-4.943736967081109,3628,2026-01-21 00:29:00+08:00,-4.71635533904016,4.1523940635334515,4.1523940635334515,68.77785,72.1,31.622,4193.210459472054,-4000.0,-2,288400.0,1440.6597011494252,1126.062,4680,2026-01-23 22:31:00+08:00,4681,2026-01-23 22:32:00+08:00,open,zscore_exit,0.4107063809846362,0.6006823885870923,66.271624,66.0,1530.6347332728296,13890.866922999177,2971.294434422255,10919.572488576923,4203
2,1,short_tsm_long_qff,5851,2026-01-28 22:33:00+08:00,1.4225419782967224,5852,2026-01-28 22:34:00+08:00,0.8924545686358318,0.0,0.0,73.65441200000001,73.0,31.369,-3964.4604046258623,4000.0,2,292000.0,1444.6695488926748,1126.0620000000001,8249,2026-02-05 23:31:00+08:00,8250,2026-02-05 23:32:00+08:00,open,zscore_exit,1.1080657026972447,-0.5386662032717257,61.7808,61.1,1522.5594395436965,-527.5353661094632,2967.2289884363713,-3494.7643545458345,11578
2,2,short_tsm_long_qff,6268,2026-01-29 23:00:00+08:00,4.535041523766796,6269,2026-01-29 23:01:00+08:00,3.283554312998924,2.458030035189258,1.6435796612148574,66.653244,64.5,31.381,-5806.169014069293,6000.0,3,387000.0,2161.104142372881,1689.0929999999998,8249,2026-02-05 23:31:00+08:00,8250,2026-02-05 23:32:00+08:00,open,zscore_exit,1.1080657026972447,-0.5386662032717257,61.7808,61.1,2017.9126818609948,7890.233375587857,4179.016824233876,3711.2165513539812,10111
3,1,long_tsm_short_qff,8867,2026-02-07 03:19:00+08:00,-1.9254887184217895,8868,2026-02-07 03:20:00+08:00,0.7068432406141155,0.0,0.0,63.5476,63.1,31.6,5957.738765901466,-6000.0,-3,378600.0,2150.3575450024864,1689.0929999999998,12637,2026-03-05 01:09:00+08:00,12638,2026-03-05 01:10:00+08:00,open,zscore_exit,1.5649287794229652,0.8802166047972187,62.368444,61.4,2178.6606293608256,3174.8965877546716,4329.018174363312,-1154.1215866086404,37310
4,1,short_tsm_long_qff,13285,2026-03-06 22:57:00+08:00,1.5932306374889642,13286,2026-03-06 22:58:00+08:00,2.088800096887886,0.0,0.0,61.57284000000001,60.3,31.87,-5875.96739081712,6000.0,3,361800.0,2162.635387826087,1689.093,13667,2026-03-09 21:49:00+08:00,13668,2026-03-09 21:50:00+08:00,open,zscore_exit,0.5877308590151812,-0.7540658211105324,59.95132,59.6,2121.305378452269,5327.998643557825,4283.940766278356,1044.0578772794688,4252
5,1,long_tsm_short_qff,14390,2026-03-11 03:22:00+08:00,-1.6634906886732224,14391,2026-03-11 03:23:00+08:00,0.5765253411272196,0.0,0.0,60.749228,60.4,31.756,5965.507907359744,-6000.0,-3,362400.0,2148.533669106116,1689.093,14877,2026-03-12 22:29:00+08:00,14878,2026-03-12 22:30:00+08:00,open,zscore_exit,1.878539677820352,1.3708933454923558,59.711262,58.6,2187.5221285871744,4608.005619429393,4336.0557976932905,271.9498217361024,2587
6,1,long_tsm_short_qff,15616,2026-03-16 21:48:00+08:00,-2.0123689401181157,15617,2026-03-16 21:49:00+08:00,0.0115855357344793,0.0,0.0,60.907056,60.9,31.989,5999.30490812099,-6000.0,-3,365400.0,2151.0047647058823,1689.0929999999998,17158,2026-03-20 21:30:00+08:00,17159,2026-03-20 21:31:00+08:00,open,zscore_exit,1.2275853044240912,2.2354190005903414,58.311456,57.6,2187.6425073373634,4228.204180481154,4338.647272043246,-110.44309156209147,5742
