timestamp,open,high,low,close,volume
2024-08-08 09:00:00+08:00,52.0,52.900002,51.599998,52.799999,41940773.0
2024-08-09 09:00:00+08:00,54.200001,54.400002,53.5,53.900002,92121597.0
2024-08-12 09:00:00+08:00,54.299999,54.700001,54.200001,54.700001,60707017.0
2024-08-13 09:00:00+08:00,54.799999,54.900002,54.299999,54.799999,40357656.0
2024-08-14 09:00:00+08:00,55.5,55.799999,55.200001,55.700001,96047613.0
2024-08-15 09:00:00+08:00,55.700001,55.700001,54.5,54.700001,36309553.0
2024-08-16 09:00:00+08:00,56.0,56.0,55.400002,55.799999,68166778.0
2024-08-19 09:00:00+08:00,55.900002,56.0,55.400002,56.0,42753863.0
2024-08-20 09:00:00+08:00,56.299999,56.400002,55.599998,56.0,47715835.0
2024-08-21 09:00:00+08:00,55.900002,56.0,55.299999,56.0,34974589.0
2024-08-22 09:00:00+08:00,56.0,56.200001,55.5,55.900002,30087791.0
2024-08-23 09:00:00+08:00,55.200001,55.599998,54.799999,55.599998,31165353.0
2024-08-26 09:00:00+08:00,55.799999,55.799999,54.900002,55.099998,27664138.0
2024-08-27 09:00:00+08:00,54.5,54.599998,53.799999,54.0,38928040.0
2024-08-28 09:00:00+08:00,54.200001,55.200001,54.099998,55.200001,29808271.0
2024-08-29 09:00:00+08:00,54.700001,54.799999,54.299999,54.599998,23254897.0
2024-08-30 09:00:00+08:00,54.599998,55.5,54.599998,55.5,57311419.0
2024-09-02 09:00:00+08:00,55.599998,55.599998,54.799999,55.400002,35096170.0
2024-09-03 09:00:00+08:00,55.200001,55.599998,55.0,55.099998,27896571.0
2024-09-04 09:00:00+08:00,53.0,54.099998,52.299999,53.299999,85748502.0
2024-09-05 09:00:00+08:00,53.900002,54.599998,53.599998,53.900002,37783857.0
2024-09-06 09:00:00+08:00,54.299999,54.5,53.599998,54.5,24305263.0
2024-09-09 09:00:00+08:00,52.9,53.8,52.6,53.8,46437090.0
2024-09-10 09:00:00+08:00,53.8,53.8,52.9,53.3,34262285.0
2024-09-11 09:00:00+08:00,53.3,54.0,53.2,54.0,24122229.0
2024-09-12 09:00:00+08:00,55.1,55.4,54.9,55.2,35327391.0
2024-09-13 09:00:00+08:00,55.2,55.3,54.3,54.6,28681902.0
2024-09-16 09:00:00+08:00,54.6,54.8,54.3,54.5,24475651.0
2024-09-18 09:00:00+08:00,54.1,54.2,53.3,53.8,57765815.0
2024-09-19 09:00:00+08:00,53.7,54.2,53.5,53.7,44964271.0
2024-09-20 09:00:00+08:00,54.1,54.4,53.1,53.8,71145992.0
2024-09-23 09:00:00+08:00,53.8,54.0,53.4,54.0,30909169.0
2024-09-24 09:00:00+08:00,54.0,54.1,53.6,53.9,39839670.0
2024-09-25 09:00:00+08:00,54.3,54.8,54.1,54.5,50031766.0
2024-09-26 09:00:00+08:00,54.9,55.1,54.7,54.9,47535593.0
2024-09-27 09:00:00+08:00,55.4,55.4,55.0,55.0,40025086.0
2024-09-30 09:00:00+08:00,54.8,55.2,53.8,53.8,41163880.0
2024-10-01 09:00:00+08:00,53.6,54.2,53.6,53.7,24979119.0
2024-10-04 09:00:00+08:00,52.6,52.9,52.2,52.6,62853072.0
2024-10-07 09:00:00+08:00,53.0,53.3,52.3,52.9,43397182.0
2024-10-08 09:00:00+08:00,52.1,52.6,52.1,52.6,39756365.0
2024-10-09 09:00:00+08:00,52.3,52.5,51.7,51.9,42465533.0
2024-10-11 09:00:00+08:00,51.8,52.3,51.7,51.8,32213335.0
2024-10-14 09:00:00+08:00,52.1,52.6,52.0,52.5,27090440.0
2024-10-15 09:00:00+08:00,52.6,52.8,52.4,52.6,25326253.0
2024-10-16 09:00:00+08:00,51.4,51.9,51.3,51.7,58498501.0
2024-10-17 09:00:00+08:00,51.6,51.9,51.6,51.7,32439299.0
2024-10-18 09:00:00+08:00,51.5,51.7,50.5,50.5,79201330.0
2024-10-21 09:00:00+08:00,50.3,50.9,50.0,50.9,54758405.0
2024-10-22 09:00:00+08:00,50.4,50.9,50.4,50.7,50408231.0
2024-10-23 09:00:00+08:00,50.7,50.7,50.2,50.2,44996600.0
2024-10-24 09:00:00+08:00,49.95,50.1,49.85,49.9,50120168.0
2024-10-25 09:00:00+08:00,49.95,50.2,49.8,49.8,41933099.0
2024-10-28 09:00:00+08:00,49.8,50.0,49.25,49.25,49591853.0
