timestamp,qff_close,qff_close_filled,qff_was_filled,tsm_close,usdttwd_close,tsm_twd_fair,spread
2026-04-01 00:00:00+08:00,1800.0,1800.0,False,325.62,32.036,2086.312464,14.734402683890838
2026-04-01 00:01:00+08:00,1800.0,1800.0,False,325.94,32.036,2088.362768,14.832091818856751
2026-04-01 00:02:00+08:00,1800.0,1800.0,False,326.37,32.038,2091.248412,14.969407303930302
2026-04-01 00:03:00+08:00,1800.0,1800.0,False,326.19,32.04,2090.22552,14.92075554529805
2026-04-01 00:04:00+08:00,,1800.0,True,326.19,32.043,2090.421234,14.930066259246615
2026-04-01 00:05:00+08:00,1795.0,1795.0,False,325.95,32.046,2089.07874,15.142779520479028
2026-04-01 00:06:00+08:00,1800.0,1800.0,False,325.95,32.047,2089.1439299999997,14.869284099753013
2026-04-01 00:07:00+08:00,1800.0,1800.0,False,326.46,32.053,2092.804476,15.043369262710424
2026-04-01 00:08:00+08:00,,1800.0,True,326.44,32.053,2092.6762639999997,15.037277397389023
2026-04-01 00:09:00+08:00,1800.0,1800.0,False,326.28,32.054,2091.715824,14.991630283023454
2026-04-01 00:10:00+08:00,1800.0,1800.0,False,326.59,32.054,2093.703172,15.086058645253095
2026-04-01 00:11:00+08:00,1800.0,1800.0,False,326.18,32.054,2091.0747440000005,14.961148944714306
2026-04-01 00:12:00+08:00,,1800.0,True,325.4,32.055,2086.1393999999996,14.726152129282836
2026-04-01 00:13:00+08:00,,1800.0,True,325.4,32.055,2086.1393999999996,14.726152129282836
2026-04-01 00:14:00+08:00,1800.0,1800.0,False,326.08,32.066,2091.216256,14.967878259192807
2026-04-01 00:15:00+08:00,1800.0,1800.0,False,326.15,32.069,2091.86087,14.998525371231988
2026-04-01 00:16:00+08:00,,1800.0,True,326.32,32.058,2092.233312,15.01622788639243
2026-04-01 00:17:00+08:00,,1800.0,True,326.26,32.069,2092.566388,15.032056429502324
2026-04-01 00:18:00+08:00,,1800.0,True,326.26,32.07,2092.63164,15.035157038388562
2026-04-01 00:19:00+08:00,1800.0,1800.0,False,326.41,32.069,2093.5284580000002,15.077761016329019
2026-04-01 00:20:00+08:00,,1800.0,True,326.5,32.069,2094.1057,15.105172928408187
2026-04-01 00:21:00+08:00,1800.0,1800.0,False,326.5,32.069,2094.1057,15.105172928408187
2026-04-01 00:22:00+08:00,1800.0,1800.0,False,326.46,32.069,2093.8491480000002,15.092990859747616
2026-04-01 00:23:00+08:00,,1800.0,True,326.46,32.069,2093.8491480000002,15.092990859747616
2026-04-01 00:24:00+08:00,,1800.0,True,326.6,32.07,2094.8124000000003,15.138721443939135
2026-04-01 00:25:00+08:00,1805.0,1805.0,False,327.0,32.069,2097.3126,14.981506094616828
2026-04-01 00:26:00+08:00,,1805.0,True,327.0,32.07,2097.3779999999997,14.984606821789162
2026-04-01 00:27:00+08:00,1800.0,1800.0,False,326.76,32.069,2095.773288,15.184317265640631
2026-04-01 00:28:00+08:00,1800.0,1800.0,False,326.71,32.057,2094.668494,15.131890914667409
2026-04-01 00:29:00+08:00,,1800.0,True,326.68,32.079,2095.913544,15.190970777866934
