bucket_min,mean_abs_ds,ds_var,stale_share,n
0,0.19503369798282894,0.07460819408061035,0.137104506232023,2086
15,0.16309292899542324,0.05116780176228463,0.18702460850111857,2235
30,0.1494974532225979,0.04346928645969846,0.23937360178970918,2235
45,0.13818534612063313,0.039172375385665335,0.2644295302013423,2235
60,0.12388737201472576,0.0329162079123769,0.29843400447427293,2235
75,0.12107086400916194,0.033293111212204886,0.3413870246085011,2235
90,0.11776288465528133,0.03158043470967098,0.34272930648769573,2235
105,0.10928017570070765,0.027860341280429798,0.38478747203579416,2235
120,0.09632838611841875,0.022506703060034525,0.4192393736017897,2235
135,0.09372106937787886,0.022451504860761615,0.46174496644295304,2235
150,0.08665905853500953,0.021051784769851256,0.46621923937360177,2235
165,0.0801886719591478,0.018298017461361418,0.5038031319910514,2235
180,0.0812133329864105,0.018960841690238647,0.5422818791946309,2235
195,0.07512260592037123,0.017534246110968925,0.5910514541387024,2235
210,0.07135584190575676,0.01566509277180726,0.6223713646532438,2235
225,0.06814153552503935,0.014652509300866612,0.6223713646532438,2235
240,0.06349353370015039,0.013261133985653118,0.636241610738255,2235
255,0.05856141876658433,0.010992946839854623,0.6917225950782998,2235
270,0.058524974417840755,0.012097412586372003,0.7002237136465325,2235
285,0.05966887485905767,0.012059206122671447,0.727069351230425,2235
300,0.05646094874274373,0.010500178092531528,0.7378076062639821,2235
315,0.06258563945155055,0.012089245181791925,0.7127516778523489,2235
330,0.07627742235327416,0.01596051592506023,0.7046979865771812,2235
345,0.07190118895280194,0.01570010661077182,0.7038031319910515,2235
360,0.07644285324422434,0.015147926032048181,0.6970917225950783,2235
375,0.10626234424461144,0.028066714200251138,0.5920286609941783,2233
