session,s_open,s_close,us_open,us_close,fx_open,fx_close,tw_open,tw_close,bars,ds_cc,ds_overnight,ds_intraday,c_us_on,c_us_id,c_us_cc,c_fx_on,c_fx_id,c_fx_cc,c_tw_on,c_tw_id,c_tw_cc
2026-01-06 00:00:00+08:00,0.666570986620735,0.9943517792166736,7.88,8.12,31.459,31.469,49.25,50.6,390,,,0.3277807925959386,,3.00022503037987,,,0.03178235470434764,,,-2.7042208675322073,
2026-01-07 00:00:00+08:00,0.3343433624533851,0.3903438115927236,8.91,8.935,31.418,31.46,55.8,56.0,390,-0.60400796762395,-0.6600084167632885,0.05600044913933849,9.284408730913142,0.2801907128673353,9.564599443780478,-0.16219571988063503,0.13359205523839,-0.028603664642245036,-9.782229309384526,-0.35778213478841236,-10.140011444172938
2026-01-08 00:00:00+08:00,-0.4222797408232457,-1.4155708058145593,8.54,8.52,31.541,31.534,54.1,54.5,390,-1.8059146174072829,-0.8126235524159693,-0.9932910649913136,-4.521514081091303,-0.23446669592541344,-4.755980777016717,0.25713891725933535,-0.02219579874352138,0.23494311851581398,3.4517504882713386,-0.7366515816762426,2.715098906595096
2026-01-09 00:00:00+08:00,-1.0323188426948622,-1.6083700931998908,8.81,8.785,31.568,31.588,56.2,56.4,390,-0.19279928738533147,0.3832519631196971,-0.5760512505050286,3.347109910686398,-0.2841718309027696,3.0629380797836285,0.10776204649696992,0.06333523550750066,0.17109728200447058,-3.071605523044695,-0.35524016043677004,-3.426845683481465
2026-01-12 00:00:00+08:00,-0.5188380094756773,-0.7101234683653893,8.8,8.855,31.597,31.565,55.9,56.3,390,0.8982466248345015,1.0895320837242135,-0.19128545888971205,0.17059998451003044,0.6230549750635942,0.7936549595736246,0.028487774189651677,-0.10132675576421198,-0.0728389815745603,0.8904778342959722,-0.7130154984591269,0.17746233583684523
2026-01-13 00:00:00+08:00,-0.417203012479642,-1.1797485492815674,8.77,8.66,31.567,31.611,55.6,55.4,390,-0.46962508091617805,0.29292045588574733,-0.7625455368019254,-0.9645464850705311,-1.2622083809747833,-2.2267548660453143,0.00633593106717725,0.13928901552394624,0.1456249465911235,1.2511333889107978,0.3603607503298656,1.6114941392406634
2026-01-14 00:00:00+08:00,0.4552276488646397,1.74520783381803,8.6,8.795,31.597,31.529,54.1,54.5,390,2.9249563830995973,1.634976198146207,1.2899801849533903,-0.6952519314881752,2.2421174930059524,1.546865561517777,-0.04429819082691888,-0.21544221494163618,-0.25974040576855506,2.3745407900802284,-0.7366515816762426,1.637889208403986
2026-01-15 00:00:00+08:00,1.1162413664403454,0.1775781753734016,8.885,8.78,31.583,31.548,55.5,55.3,390,-1.5676296584446283,-0.6289664673776845,-0.9386631910669438,1.0181083417093082,-1.188805395958942,-0.17069705424963377,0.17112439212067446,-0.11088056132770507,0.06024383079296938,-1.8182319083190328,0.36101122240997857,-1.4572206859090542
2026-01-16 00:00:00+08:00,0.0534099238908695,-0.4563150181862752,9.3,9.295,31.576,31.593,58.7,59.0,390,-0.6338931935596768,-0.12416825148253209,-0.5097249420771447,5.753799251218512,-0.05377789858029807,5.700021352638213,0.08871428248016579,0.05382387060238479,0.14253815308255058,-5.966681830576172,-0.5097717071668579,-6.47645353774303
2026-01-20 00:00:00+08:00,0.1299155548893155,-4.868099754215343,10.735,10.8,31.62,31.661,67.8,71.8,389,-4.411784736029068,0.5862305730755907,-4.998015309104658,14.403281015733699,0.6036702799429714,15.00695129567667,0.08542547147561352,0.129580776969338,0.21500624844495153,-13.902475104063033,-5.732228110782856,-19.63470321484589
2026-01-21 00:00:00+08:00,-3.26518262454016,-2.5663955900902984,10.97,11.13,31.586,31.613,71.6,72.2,390,2.301704164125044,1.6029171296751827,0.6987870344498615,1.561814015696496,1.4479891000314649,3.0098031157279608,-0.2371655103156691,0.08544439514126936,-0.15172111517439973,0.27894020875786363,-0.8344971932180688,-0.5555569844602052
2026-01-22 00:00:00+08:00,-0.3709925801484027,-0.7194865409897738,10.83,10.875,31.6,31.588,68.7,69.2,390,1.8469090491005247,2.1954030099418955,-0.34849396084137113,-2.7324104274554246,0.4146515961848618,-2.317758831270563,-0.04113078064091138,-0.03798189575319113,-0.07911267639410251,4.969084667047687,-0.7251663395320207,4.243918327515666
2026-01-23 00:00:00+08:00,0.1170124164260304,-0.0529868028207125,10.38,10.535,31.588,31.355,65.5,66.1,390,0.6664997381690614,0.8364989574158043,-0.16999921924674288,-4.65856992370051,1.4822169518409638,-3.1763529718595462,0.0,-0.7403557640350362,-0.7403557640350362,5.495071998241763,-0.9118604216434338,4.5832115765983295
2026-01-26 00:00:00+08:00,-0.8382534556559338,-0.2813518817581504,11.219,11.34,31.467,31.437,71.2,71.5,390,-0.2283650789374379,-0.7852666528352212,0.5569015738977834,6.290572230667521,1.0727528736778502,7.363325104345371,0.3565633652592284,-0.09538344866621583,0.26117991659301254,-7.4324071560289555,-0.42046312820318704,-7.852870284232143
2026-01-27 00:00:00+08:00,0.1900356127959733,-1.4818301739417887,12.67,12.49,31.433,31.239,79.5,79.2,390,-1.2004782921836383,0.4713874945541237,-1.671865786737762,11.090069603344174,-1.4308670195561357,9.659202583788039,-0.01272466997104173,-0.6190982245335231,-0.6318228945045649,-10.605957196032422,0.37807228399060444,-10.227884912041818
2026-01-28 00:00:00+08:00,0.6348518678296976,-0.9293570439675968,11.79,11.365,31.369,31.296,73.5,71.8,389,0.552473129974192,2.1166820417714862,-1.5642089117972944,-5.767660958820682,-3.671325724477293,-9.438986683297975,0.4152829888562757,-0.232985025202461,0.18229796365381468,7.469089260158923,2.3400930164612586,9.80918227662018
2026-01-29 00:00:00+08:00,1.9124231747600955,3.961161690148676,10.74,10.565,31.367,31.365,66.1,63.7,390,4.890518734116273,2.8417802187276924,2.048738515388581,-5.656336822378788,-1.6428438012698716,-7.29918062364866,0.22660910069126047,-0.006376331061275856,0.22023276962998461,8.271572919653792,3.6984184279522845,11.969991347606076
2026-01-30 00:00:00+08:00,2.908044871268448,2.381735042034781,10.3,10.17,31.485,31.569,63.0,62.7,390,-1.5794266481138952,-1.0531168188802282,-0.526309829233667,-2.540275583242984,-1.2701685175121633,-3.8104441007551473,0.38186203919994854,0.2664384486078711,0.6483004878078196,1.1049836186585047,0.477327875265766,1.5823114939242706
2026-02-02 00:00:00+08:00,1.275655191741363,1.93076110811776,9.86,10.04,31.587,31.58,61.5,62.2,390,-0.4509739339170209,-1.106079850293418,0.655105916376397,-3.0956041445924596,1.8090945649039045,-1.286509579688555,0.05700171159470994,-0.022163471523599033,0.0348382400711109,1.9324272826402928,-1.1317824932661658,0.8006447893741271
2026-02-03 00:00:00+08:00,1.56982783910588,3.3167108183078367,9.77,9.85,31.556,31.589,60.7,60.2,390,1.3859497101900766,-0.36093326901188005,1.7468829792019567,-2.726064820889174,0.8154989129306165,-1.9105659079585575,-0.07602635946527636,0.10452134928906866,0.028494989823792297,2.441130167968116,0.8271345750677194,3.2682647430358354
2026-02-04 00:00:00+08:00,1.1735713965486645,2.6804490718924234,9.975,9.935,31.546,31.637,62.2,61.2,390,-0.6362617464154132,-2.143139421759172,1.506877675343759,1.2610507591929732,-0.40180867721469155,0.8592420819782816,-0.13621606604516337,0.288052365104755,0.15183629905959165,-3.2682647430358402,1.620781022685331,-1.6474837203505093
2026-02-05 00:00:00+08:00,1.2129873077253364,2.3349939703363,9.785,9.975,31.654,31.658,61.2,61.7,390,-0.34545510155612336,-1.467461764167087,1.1220066626109637,-1.5213275155740689,1.9231361927887591,0.40180867721469027,0.05372011947616347,0.012635835245516668,0.06635595472168014,-0.0,-0.8136741393061704,-0.8136741393061704
