entry_time,direction,exit_reason,net_pnl_twd,won,holding_minutes,std_ref,mae_spread,mae_k,bars_to_mae
2026-06-18 00:10:00+08:00,long_tsm_short_qff,zscore_exit,15500.610460684977,True,7128,0.9827045081165121,1.2590164221291822,1.2811749734844096,256
2026-06-23 02:53:00+08:00,long_tsm_short_qff,zscore_exit,11011.105998515723,True,1118,1.1054233938652807,0.7918560574515152,0.7163373435427943,55
2026-06-24 00:41:00+08:00,long_tsm_short_qff,zscore_exit,11164.266040257753,True,1250,1.1322485485976825,0.34505848757315505,0.3047550716673635,2
2026-06-25 21:58:00+08:00,short_tsm_long_qff,zscore_exit,9752.63014233032,True,1633,1.1381189656828092,1.701503299471468,1.49501357131911,362
2026-06-29 23:42:00+08:00,short_tsm_long_qff,zscore_exit,4357.197510670059,True,2754,0.8931265049079276,1.277447840945795,1.4303100780527023,312
2026-07-02 00:04:00+08:00,long_tsm_short_qff,zscore_exit,14176.131440383593,True,1287,0.7271747206712376,0.0,0.0,0
2026-07-02 22:29:00+08:00,long_tsm_short_qff,zscore_exit,5445.343095911119,True,192,0.6236008152528455,0.957714840555373,1.5357818930481313,15
2026-07-03 03:21:00+08:00,long_tsm_short_qff,zscore_exit,5261.516565263062,True,5439,0.6488850644313724,0.04134186078531643,0.0637121472683994,3
2026-07-06 22:19:00+08:00,short_tsm_long_qff,zscore_exit,-2141.8041500295694,False,54,0.6495988615661614,0.39976897153746505,0.6154089780478298,12
2026-07-07 01:20:00+08:00,long_tsm_short_qff,zscore_exit,18198.049690952685,True,1211,0.6361015554289906,0.5757583051284341,0.905135823383012,154
2026-07-07 21:33:00+08:00,short_tsm_long_qff,zscore_exit,7152.367644362717,True,1532,0.6620032291816994,0.4896994420429559,0.7397236455300561,216
2026-07-08 23:51:00+08:00,long_tsm_short_qff,zscore_exit,9962.851820906177,True,1300,0.6856890223647436,0.0,0.0,0
2026-07-09 21:34:00+08:00,short_tsm_long_qff,zscore_exit,7423.160454468965,True,5760,0.6786990525914821,0.6762765227825015,0.9964306273896646,6
2026-07-13 21:42:00+08:00,long_tsm_short_qff,zscore_exit,6674.088867723411,True,37,0.7344191773029678,0.1257668841970383,0.17124673222572462,1
2026-07-13 22:47:00+08:00,short_tsm_long_qff,zscore_exit,4436.766242414013,True,1386,0.7303077806874587,0.3052680048212088,0.41799911337909024,142
2026-07-15 21:31:00+08:00,long_tsm_short_qff,zscore_exit,6730.930471769908,True,1440,0.6501398271697627,1.3974453296579759,2.149453504089173,64
2026-07-17 21:31:00+08:00,short_tsm_long_qff,zscore_exit,20775.425021517694,True,5760,0.86168488078586,1.2334056750678113,1.4313883213814085,389
2026-07-21 21:33:00+08:00,long_tsm_short_qff,zscore_exit,4681.574042794036,True,2882,1.0569709154239322,0.0,0.0,0
2026-07-24 22:45:00+08:00,short_tsm_long_qff,zscore_exit,3750.1330773034388,True,85,0.8163713593636543,0.1673211940050569,0.20495720738596285,4
2026-07-25 00:51:00+08:00,short_tsm_long_qff,zscore_exit,5367.705678896469,True,4120,0.7402132543453217,0.522808111555086,0.7062939071760898,187
2026-07-27 22:21:00+08:00,long_tsm_short_qff,zscore_exit,5562.557506629995,True,20,0.7529158350341462,0.06355861619245728,0.0844166283069007,5
2026-07-28 00:03:00+08:00,long_tsm_short_qff,zscore_exit,2108.872142368291,True,185,0.7475606712157745,0.26913938558105976,0.36002346825355647,9
2026-07-28 21:31:00+08:00,short_tsm_long_qff,zscore_exit,41459.40625322322,True,4369,0.7182743635381924,0.3277046978034548,0.4562388892584079,396
2026-08-03 21:32:00+08:00,short_tsm_long_qff,zscore_exit,23317.459232785266,True,1439,1.2578975967231603,0.5478426042578222,0.43552241906253686,128
2026-08-05 02:19:00+08:00,short_tsm_long_qff,zscore_exit,8654.403269613915,True,1273,1.12820769470586,0.25041526309486395,0.22195847827482762,31
2026-08-06 21:39:00+08:00,long_tsm_short_qff,zscore_exit,6569.217085096541,True,23,0.8199841540837848,0.0,0.0,0
2026-08-06 22:18:00+08:00,short_tsm_long_qff,zscore_exit,271.4883692309395,True,5714,0.8105344310288649,0.914163269791032,1.1278524820106952,240
2026-08-11 01:43:00+08:00,long_tsm_short_qff,zscore_exit,-1248.3749326512852,False,9849,0.7949874321642364,1.7509090004598549,2.2024360758675927,940
2026-08-18 00:01:00+08:00,short_tsm_long_qff,zscore_exit,7423.953999935431,True,2730,0.8279339536288084,0.5001286910446254,0.604068342471736,615
2026-08-19 21:51:00+08:00,long_tsm_short_qff,zscore_exit,6349.326073297349,True,1421,0.6781847045552105,0.19154522490061732,0.2824381375959265,26
2026-08-20 23:46:00+08:00,long_tsm_short_qff,end_of_data,-8350.647454431732,False,6013,0.7190355785847958,1.546597953511268,2.150933833559778,691
