timestamp,symbol,open,high,low,close,volume
2026-04-01 00:00:00+08:00,USDT/TWD,32.036,32.066,32.027,32.066,251261.49725829
2026-04-01 00:15:00+08:00,USDT/TWD,32.066,32.079,32.056,32.079,77549.67903962
2026-04-01 00:30:00+08:00,USDT/TWD,32.079,32.079,32.046,32.061,95305.30572947
2026-04-01 00:45:00+08:00,USDT/TWD,32.061,32.061,32.046,32.046,50333.41315333
2026-04-01 01:00:00+08:00,USDT/TWD,32.059,32.059,32.038,32.038,53373.22715108
2026-04-01 01:15:00+08:00,USDT/TWD,32.038,32.052,32.038,32.044,46171.41711507
2026-04-01 01:30:00+08:00,USDT/TWD,32.044,32.055,32.038,32.051,43390.71028237
2026-04-01 01:45:00+08:00,USDT/TWD,32.051,32.051,32.041,32.044,22830.97367509
2026-04-01 02:00:00+08:00,USDT/TWD,32.044,32.05,32.038,32.043,14531.90816151
2026-04-01 02:15:00+08:00,USDT/TWD,32.043,32.049,32.039,32.049,25111.41403953
2026-04-01 02:30:00+08:00,USDT/TWD,32.049,32.05,32.04,32.041,20283.00329209
2026-04-01 02:45:00+08:00,USDT/TWD,32.041,32.053,32.039,32.039,12045.2182702
2026-04-01 03:00:00+08:00,USDT/TWD,32.05,32.052,32.039,32.051,35244.52448084
2026-04-01 03:15:00+08:00,USDT/TWD,32.051,32.051,32.04,32.051,12351.28089132
2026-04-01 03:30:00+08:00,USDT/TWD,32.051,32.052,32.039,32.04,7079.38860467
2026-04-01 03:45:00+08:00,USDT/TWD,32.039,32.051,32.039,32.047,19013.5063267
2026-04-01 04:00:00+08:00,USDT/TWD,32.047,32.05,32.039,32.04,11313.42774876
2026-04-01 04:15:00+08:00,USDT/TWD,32.04,32.05,32.04,32.045,15989.82321731
2026-04-01 04:30:00+08:00,USDT/TWD,32.049,32.049,32.045,32.049,20831.3456368
2026-04-01 04:45:00+08:00,USDT/TWD,32.048,32.048,32.04,32.04,18678.49340884
2026-04-01 05:00:00+08:00,USDT/TWD,32.04,32.048,32.04,32.04,12638.35777974
2026-04-01 05:15:00+08:00,USDT/TWD,32.048,32.048,32.039,32.048,16011.48968546
2026-04-01 05:30:00+08:00,USDT/TWD,32.047,32.047,32.038,32.042,10159.58824459
2026-04-01 05:45:00+08:00,USDT/TWD,32.044,32.044,32.038,32.044,16269.8637826
2026-04-01 06:00:00+08:00,USDT/TWD,32.043,32.043,32.03,32.033,18820.47625281
2026-04-01 06:15:00+08:00,USDT/TWD,32.03,32.043,32.021,32.043,14385.97353124
2026-04-01 06:30:00+08:00,USDT/TWD,32.043,32.043,32.02,32.021,18513.73826573
2026-04-01 06:45:00+08:00,USDT/TWD,32.021,32.04,32.02,32.039,18397.58298358
2026-04-01 07:00:00+08:00,USDT/TWD,32.039,32.041,32.021,32.039,20709.99671243
2026-04-01 07:15:00+08:00,USDT/TWD,32.025,32.039,32.02,32.02,18102.58811362
2026-04-01 07:30:00+08:00,USDT/TWD,32.037,32.04,32.02,32.04,35798.76738198
2026-04-01 07:45:00+08:00,USDT/TWD,32.04,32.04,32.02,32.022,36405.52219601
2026-04-01 08:00:00+08:00,USDT/TWD,32.019,32.022,32.015,32.022,33820.72131721
2026-04-01 08:15:00+08:00,USDT/TWD,32.022,32.027,32.011,32.027,34001.20062959
2026-04-01 08:30:00+08:00,USDT/TWD,32.027,32.04,32.025,32.039,72941.42799141
2026-04-01 08:45:00+08:00,USDT/TWD,32.033,32.037,32.017,32.031,48845.58642009
2026-04-01 09:00:00+08:00,USDT/TWD,32.019,32.03,32.008,32.009,128432.31547238
2026-04-01 09:15:00+08:00,USDT/TWD,32.009,32.022,32.0,32.02,136422.94020915
2026-04-01 09:30:00+08:00,USDT/TWD,32.02,32.022,32.015,32.022,99438.55633304
2026-04-01 09:45:00+08:00,USDT/TWD,32.02,32.033,32.003,32.004,165594.78618929
2026-04-01 10:00:00+08:00,USDT/TWD,32.023,32.024,32.0,32.017,84116.39313842
2026-04-01 10:15:00+08:00,USDT/TWD,32.017,32.018,31.998,31.999,81448.89784777
2026-04-01 10:30:00+08:00,USDT/TWD,31.999,32.005,31.978,31.988,184489.28751997
2026-04-01 10:45:00+08:00,USDT/TWD,31.985,32.002,31.978,31.997,185879.65921849
2026-04-01 11:00:00+08:00,USDT/TWD,31.997,32.001,31.972,31.976,78061.91823951
2026-04-01 11:15:00+08:00,USDT/TWD,31.976,31.983,31.965,31.977,78057.42593336
2026-04-01 11:30:00+08:00,USDT/TWD,31.973,32.0,31.973,31.999,31388.85612108
2026-04-01 11:45:00+08:00,USDT/TWD,31.999,32.0,31.984,31.999,32873.0063289
2026-04-01 12:00:00+08:00,USDT/TWD,31.998,32.002,31.994,32.0,78505.07014532
2026-04-01 12:15:00+08:00,USDT/TWD,32.002,32.018,31.989,32.018,107960.1505605
2026-04-01 12:30:00+08:00,USDT/TWD,32.018,32.03,31.999,32.013,54337.29652047
2026-04-01 12:45:00+08:00,USDT/TWD,32.013,32.018,32.0,32.016,82758.88626426
2026-04-01 13:00:00+08:00,USDT/TWD,32.015,32.022,32.0,32.02,71603.70864513
2026-04-01 13:15:00+08:00,USDT/TWD,32.021,32.029,32.02,32.027,153979.92891151
2026-04-01 13:30:00+08:00,USDT/TWD,32.026,32.03,32.003,32.025,72905.37022925
2026-04-01 13:45:00+08:00,USDT/TWD,32.025,32.035,32.008,32.026,60304.03760991
2026-04-01 14:00:00+08:00,USDT/TWD,32.026,32.035,32.007,32.028,61866.17093507
2026-04-01 14:15:00+08:00,USDT/TWD,32.027,32.032,32.01,32.023,79139.22610421
2026-04-01 14:30:00+08:00,USDT/TWD,32.023,32.026,32.018,32.023,105787.2454136
2026-04-01 14:45:00+08:00,USDT/TWD,32.026,32.031,32.018,32.031,127464.25592432
2026-04-01 15:00:00+08:00,USDT/TWD,32.031,32.035,32.026,32.03,242915.057096
2026-04-01 15:15:00+08:00,USDT/TWD,32.035,32.043,32.03,32.039,92638.03086714
2026-04-01 15:30:00+08:00,USDT/TWD,32.03,32.04,32.018,32.04,74397.13773514
2026-04-01 15:45:00+08:00,USDT/TWD,32.04,32.044,32.021,32.044,114602.48368047
2026-04-01 16:00:00+08:00,USDT/TWD,32.043,32.061,32.04,32.06,96407.1069087
2026-04-01 16:15:00+08:00,USDT/TWD,32.06,32.069,32.053,32.064,44730.45069443
2026-04-01 16:30:00+08:00,USDT/TWD,32.069,32.07,32.06,32.065,43869.59345233
2026-04-01 16:45:00+08:00,USDT/TWD,32.065,32.069,32.058,32.069,34530.77221951
2026-04-01 17:00:00+08:00,USDT/TWD,32.065,32.069,32.04,32.069,82743.79492188
2026-04-01 17:15:00+08:00,USDT/TWD,32.067,32.069,32.039,32.053,80461.97496946
2026-04-01 17:30:00+08:00,USDT/TWD,32.053,32.067,32.038,32.066,52396.16441107
2026-04-01 17:45:00+08:00,USDT/TWD,32.066,32.066,32.035,32.037,69685.28266748
2026-04-01 18:00:00+08:00,USDT/TWD,32.034,32.054,32.028,32.048,162883.56982804
2026-04-01 18:15:00+08:00,USDT/TWD,32.048,32.048,32.03,32.038,61476.76621159
2026-04-01 18:30:00+08:00,USDT/TWD,32.038,32.039,32.032,32.035,77480.95404293
2026-04-01 18:45:00+08:00,USDT/TWD,32.036,32.059,32.035,32.059,299277.29908395
2026-04-01 19:00:00+08:00,USDT/TWD,32.059,32.059,32.05,32.052,47188.71805129
2026-04-01 19:15:00+08:00,USDT/TWD,32.052,32.059,32.045,32.059,75892.6446025
2026-04-01 19:30:00+08:00,USDT/TWD,32.059,32.062,32.053,32.062,53284.74455538
2026-04-01 19:45:00+08:00,USDT/TWD,32.062,32.062,32.056,32.056,63967.347188
2026-04-01 20:00:00+08:00,USDT/TWD,32.056,32.06,32.056,32.06,52381.3970631
2026-04-01 20:15:00+08:00,USDT/TWD,32.06,32.06,32.055,32.06,56802.66317281
2026-04-01 20:30:00+08:00,USDT/TWD,32.055,32.062,32.05,32.062,49519.26117559
